Sl No.,District Name,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
1,Eastern West Khasi Hills,104967,54778,2223
2,East Garo Hills,110788,58467,16549
3,East Jaintia Hills,143402,68770,6670
4,East Khasi Hills,1054666,388783,146305
5,North Garo Hills,138808,66220,11922
6,Ri Bhoi,305493,126249,13494
7,South Garo Hills,86596,44788,10896
8,South West Garo Hills,144931,84815,23244
9,South West Khasi Hills,83374,37976,1946
10,West Garo Hills,473771,212598,61511
11,West Jaintia Hills,308350,135569,32337
12,West Khasi Hills,141999,65102,8193
Grand,Total,3097145,1344115,335290
