Meghalaya:Details of Banking Profile for the FY(2021-2022) as on 30-09-2021,,,,,,
(Amount in Rs. Lakhs),,,,,,
Profile,Public. Bank,Private. Bank,RRBs,Co-op Banks,NEDFi/RIDF,Total
Branch Network,207,72,90,59,0,428
Aggregate Deposit(D),1789680.42,610019.06,283326.55,367466.82,0,3050492.85
Total Advances inc. Credit Utilize,678732.34,204783.96,84053.56,186010.5,79066.38,1232646.74
CD Ratio (CDR2),37.92,33.57,29.67,50.62,0,40.41
Priority Sector (PS) Advances,274568.45,27820.35,50701.75,171316.34,79066.38,603473.27
% to Total Advances,40.45,13.59,60.32,92.1,100,48.96
Adv. to Agriculture (PS),39251.93,2431.43,16284.44,150065.18,63639.16,271672.14
% to Total Advances,5.78,1.19,19.37,80.68,80.49,22.04
Adv. to MSME Sector (PS),173963.5,19931.18,22725.33,10060.8,15427.22,242108.03
% to Total Advances,25.63,9.73,27.04,5.41,19.51,19.64
Adv. to Other Priority Sector (PS),61353.02,5457.74,11691.98,11190.36,0,89693.1
% to Total Advances,9.04,2.67,13.91,6.02,0,7.28
