Name of RSETI,Trainee target,No. of pro- grammes,Total No. of trainee trained,Total candidates credit linked,Total No. of candidates started the IGA training
PNB Mawphlang,900,23,536,168,190
MRB Nongstoin,700,10,221,66,89
SBI Tura,800,14,426,48,108
"MCAB, Williamnagar",700,7,154,0,3
SBI Umran,900,20,563,87,96
Total,4000,74,1900,369,486
