lanosreP tmA naoL,94.9,6.671,35.65,41.9321,39.122,47.39,18.141,35.46,74.3,93.5121,47.801,16.14,89.2733
lanosreP oN naoL,4,99,93,105,101,66,48,64,4,766,86,92,8071
SPN gnisuoH tmA,0,0,0,821,0,321,0,5.0,0,13.68,0,0,18.733
gnisuoH oN SPN,0,0,0,01,0,8,0,1,0,9,0,0,82
noitacudE tmA SPN,0,0,0,0,0,0,0,0,0,0,0,0,0
noitacudE oN SPN,0,0,0,0,0,0,0,0,0,0,0,0,0
SPN tmA irgA,0,14.1,0,87.0,0,43.0,0,80.0,0,2.3,51.4,0,69.9
oN SPN irgA,0,5,0,5,0,2,0,1,0,11,22,0,64
-kaeW tmA snaoL re,17.603,81.716,48.605,44.2195,84.879,62.7927,41.023,67.0801,23.203,59.3403,20.2132,96.6002,97.48642
oN snaoL rekaeW,335,6621,261,6905,7761,36311,194,3191,133,2493,6661,7342,77803
tmA SP rehtO,16.04,98.11,14.561,36.6731,0,31.152,0,80.81,73.66,59.255,58.713,15.97,34.0882
SP rehtO oN,85,49,71,3331,0,072,0,92,69,294,711,04,6452
-weneR elba tmA,0,0,0,0,0,0,0,0,0,0,0,0,0
elbaweneR oN,0,0,0,0,0,0,0,0,0,0,0,0,0
