Sl No.,Bank Name,Agri (PS) Target No.,Agri (PS) Target Amount,Agri (PS) Achieved No.,Agri (PS) Achieved Amount,Agri(PS) Achv% Amount,Crop Loan Target No.,Crop Loan Target Amount,Crop Loan Achieved No.,Crop Loan Achieved Amount,Crop Loan Achv% Amount,MSME (PS) Target No.,MSME (PS) Target Amount,MSME (PS) Achieved No.,MSME (PS) Achieved Amount,MSME (PS) Achv% Amount,Other PS Target No.,Other PS Target Amount,Other PS Achieved No.,Other PS Achieved Amount,Other PS Achv% Amount,Total (PS) Target No.,Total (PS) Target Amount,Total (PS) Achieved No.,Total (PS) Achieved Amount,Total(PS) Achv% Amount
1,BOB,795,867,229,298.08,34.38,690,407,171,165.39,40.64,660,4711,112,2494.68,52.95,130,755,53,66.07,8.75,1585,6333,394,2858.83,45.14
2,BOI,544,574,34,138.76,24.17,445,347,17,65.88,18.99,502,1900,17,76.33,4.02,57,314,4,7.53,2.4,1103,2788,55,222.62,7.98
3,BOM,126,98,5,74.41,75.93,104,52,0,0,0,77,500,3,34.12,6.82,17,104,3,15.47,14.88,220,702,11,124,17.66
4,CAN,2342,2191.3,447,483.97,22.09,1588,1272,334,352.5,27.71,1178,13596,351,3568.19,26.24,279,1326.51,52,94.94,7.16,3799,17113.81,850,4147.1,24.23
5,CBI,3697,2763.18,559,1004.62,36.36,2316,1669,67,77.17,4.62,2531,8856,198,3237.85,36.56,507,987.04,39,186.69,18.91,6735,12606.22,796,4429.16,35.13
6,IND,631,648.14,2,519,80.08,434,376,0,0,0,260,4968,112,4216.26,84.87,51,257.48,3,7.68,2.98,942,5873.62,117,4742.94,80.75
7,IOB,281,276,13,48.7,17.64,250,208,5,21.5,10.34,257,1663,12,82.68,4.97,36,145,6,35.72,24.63,574,2084,31,167.1,8.02
8,PNB,5698,4860.43,98,196.5,4.04,4188,3080,86,143.58,4.66,3122,21190.68,304,5115.23,24.14,525,2132.87,45,194.92,9.14,9345,28183.98,447,5506.65,19.54
9,PSB,94,90,0,0,0,60,30,0,0,0,122,457,4,5.5,1.2,11,65,0,0,0,227,612,4,5.5,0.9
10,SBI,37772,33561.33,17988,15321.46,45.65,28126,21956,17078,12409.14,56.52,20342,54471.84,5665,93258.37,171.2,3604,12181.15,1331,3730.36,30.62,61718,100214.32,24984,112310.19,112.07
11,UCO,2615,2479.14,2,3.45,0.14,1834,1441,0,0,0,2397,8714,131,1443.99,16.57,344,982.48,11,21.23,2.16,5356,12175.62,144,1468.67,12.06
12,UNI,1428,1487.63,142,423.63,28.48,914,775.1,87,56.99,7.35,1838,5476,350,8292.34,151.43,191,783.63,95,125.29,15.99,3457,7747.26,587,8841.26,114.12
Pub,Total,56023,49896.15,19519,18512.58,37.1,40949,31613.1,17845,13292.15,42.05,33286,126503.52,7259,121825.54,96.3,5752,20034.16,1642,4485.9,22.39,95061,196433.83,28420,144824.02,73.73
1,AXIS,4355,4350.26,830,362.19,8.33,1810,1836,0,0,0,3864,15736,16,1957.82,12.44,1563,1791.95,495,209.04,11.67,9782,21878.21,1341,2529.05,11.56
2,BAND,1341,1278.14,343,267.75,20.95,998,793,139,104.6,13.19,849,2622,168,176.65,6.74,127,665.48,0,0,0,2317,4565.62,511,444.4,9.73
3,FED,334,354.1,7,10.73,3.03,240,179,6,10.71,5.98,737,1634,36,5634.8,344.85,345,587,0,0,0,1416,2575.1,43,5645.53,219.24
4,HDFC,5712,5091.52,913,635.93,12.49,4423,3454,2,7.49,0.22,1957,20412.84,386,14810.2,72.55,475,2407.98,281,176.78,7.34,8144,27912.34,1580,15622.91,55.97
5,ICICI,4974,4328.93,266,414.64,9.58,3666,2815,0,0,0,1861,16563,90,8782.63,53.03,431,1636.27,1,14.74,0.9,7266,22528.2,357,9212.01,40.89
6,IDBI,542,498.53,8,24.94,5,350,300,3,3.54,1.18,126,978,63,848.1,86.72,67,240.31,3,6.3,2.62,735,1716.84,74,879.34,51.22
