2,Population,2011 Census,Absolute,"29,66,889"
3,Household,2011 Census,Absolute,"5,48,059"
4,Density,2011 Census,Persons per Sq.Km,132
5,Sex Ratio,2011 Census,Females per ‘000 Males,989
6,% of Urban Population to total Population,2011 Census,Percentage,19.58%
7,Average Annual Exponential Growth Rate,1991-2001,Percentage,3.16%
8,Population Below Poverty Line (As per Planning Commission Estimate),2011-12,Percentage,21.90%
9,Literacy Rate:,,,
,(i) Male,2011 Census,Percentage,74.43%
,(ii) Females,2011 Census,Percentage,89.40%
10,Gross State Domestic Product (GSDP) at Factor Cost,,,
,(i) At Current Prices,2007-08,Rs. in Crores,7605
,(ii) At constant (1999-2000) Prices,2007-08,Rs. in Crores,5628
11,Net State Domestic Product (NSDP) at FC,2007-08,Rs. in Crores,4968.83
,(i) At Current Prices,2007-08,Rs. in Crores,6707
,(ii) At constant (1999-2000) Prices,2007-08,Rs. in Crores,5628
12,Per Capita NSDP,2007-08,Rs. in Crores,20729
,(i) At Current Prices,2007-08,Rs. in Crores,26636
,(ii) At constant (1999-2000) Prices,2007-08,Rs. in Crores,20094
13,Index of Agriculture Production (Base Trienium ending 1981-82=100),,,
14,Total Cropped Area,2012-13,Lakh Hectare,3.39
15,Net Area Sown,2012-13,Lakh Hectare,2.85
16,Index of Industrial Production (Base Trienium ending 1993-94=100),,,
17,Post Office per lakh population,2011,Nos. (491),16
18,All Scheduled Commercial Banks per Lakhs Population,2014-15,Nos. (370),12
19,Employment on Organised Sector,2010,‘000 Nos,43
,(i) Public Sector,2010,‘000 Nos,37
,(ii) Private Sector,2010,‘000 Nos,6
