Sl No.,Bank Name,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
1,BOB,56834,16023,12306
2,BOI,12829,8429,5883
3,BOM,5800,5800,5800
4,CAN,85159,64792,1750
5,CBI,36354,6839,17370
6,IND,15602,3101,2837
7,IOB,17031,9230,9230
8,PNB,95017,69694,26249
9,PSB,4357,4357,4357
10,SBI,1327818,506910,153181
11,UCO,24412,21143,21143
12,UNI,41144,5046,8752
Public,Total,1722357,721364,268858
1,AXIS,31571,1712,1620
2,BAND,40062,8659,2570
3,FED,10705,6801,3630
4,HDFC,63675,9717,9717
5,ICICI,17301,4487,10181
6,IDBI,4876,1559,553
7,IDFC,4381,3552,3547
8,INDUS,5123,0,0
9,KMB,2943,2358,298
10,SIB,2189,169,955
11,YES,2380,1415,1268
Private,Total,185206,40429,34339
1,ESAF,2744,201,2744
2,JSF,945,287,809
3,SSFB,23680,0,0
4,UJJIVAN,14287,6922,6922
Small FB,Total,41656,7410,10475
1,APBL,1441,1441,1441
Payment B,Total,1441,1441,1441
1,MLRB,766987,438664,0
RRB,Total,766987,438664,0
1,JUCB,23270,10186,10186
2,MCAB,341099,114630,0
3,SCUB,15129,9991,9991
4,TCUB,0,0,0
Grand,Total,3097145,1344115,335290
