Sl No.,Bank Name,No. Of New Crop kcc issued during quar- ter,New Crop KCC Amount disbursed during quarter (Rs. in Lakhs),No of Crop KCC Re- newed During the quar- ter,Crops KCC Renewed Amount During the quarter (Rs. in Lakhs)..,Out of total no. of Active Crops KCC (Since Incep- tion),Crops Kcc Total Active Amount(Rs. in Lakhs),Crops KCC NPA No at the end of current quarter,Crops KCC NPA Amt at the end of current quarter (Since In- ception)(Rs. in Lakhs),No. of New KCC for animal hus- bandary issued during quarter,KCC for Animal Hus- bandary Amount disbursed during quarter (Rs. in Lakhs),No Renewal KCC for animal hus- bandary as on end of current quarter,KCC for animal hus- bandary Outstand- ing Renew- al amount. as on end of current quarter (Rs. in Lakhs),KCC for Animal Hus- bandary Total no. of Active KCC for animal hus- bandary (Since Incep- tion),KCC for Animal Hus- bandary Total Active Amount (Rs. in Lakhs),KCC for Animal Hus- bandary NPA No at the end of current quarter,KCC for Animal Hus- bandary NPA Amt at the end of current quarter (Since Inception) (Rs. in Lakhs),No. of New KCC for fishries issued during quarter,KCC for Fishries New KCC Amount dis- bursed during quarter (Rs. in Lakhs),Total no. of KCC for fishries as on end of current quarter,KCC for Fishries No of KCC Renewed During the quarter Amount (Rs. in Lakhs),KCC for Fishries Total no. of Active KCC for fishries (Since Incep- tion),KCC for Fishries Total Active Amount (Rs. in Lakhs),KCC for Fish- eries NPA No at the end of current quarter,KCC for Fisher- ies NPA Amt at the end of current quarter (Since Incep- tion) (Rs. in Lakhs)
1,BOB,171,165.39,62,93,670,642.16,59,46.22,14,25.04,2,2,78,123,0,0,0,0,0,0,0,0,0,0
2,BOI,2,2.59,0,0,187,245.2,25,28.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,BOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CAN,90,110.94,14,17.8,741,615.02,63,33.01,0,0,0,0,0,0,0,0,0,1.52,0,0,1,1.52,0,0
5,CBI,1,1.49,4,5.24,243,210.48,0,0,4,0.06,19,19.97,26,21.01,0,0,0,0,0,0,0,0,0,0
6,IND,0,0,74,31.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,IOB,2,2.6,0,0,0,17.28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,PNB,17,16.4,5,3,452,340.72,452,340.72,234,120.04,3,4.6,0,0,0,0,0,33.32,1,0.3,0,0,0,0
9,PSB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SBI,2274,2368.82,3953,4332.35,49647,42855.47,22099,12587.67,1,1.5,0,0,64,43.68,63,35.01,0,0,0,0,0,0,0,0
11,UCO,0,0,0,0,11,4.09,0,0,0,0,0,0,17,5.57,0,0,0,0,0,0,0,0,0,0
12,UNI,17,22.21,70,34.78,87,56.99,25,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public,Total,2574,2690.44,4182,4517.62,52038,44987.41,22737,13051.64,253,146.64,24,26.57,185,193.26,63,35.01,0,34.84,1,0.3,1,1.52,0,0
1,AXIS,0,0,0,0,1,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,BAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FED,6,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,HDFC,0,3.53,0,3.53,2,6.59,0,0,0,3.53,0,3.53,1,4.6,0,0,0,0,0,0,0,0,0,0
5,ICICI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,IDBI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,IDFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,INDUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,KMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Private,Total,6,14.24,0,3.53,3,7.6,0,0,0,3.53,0,3.53,1,4.6,0,0,0,0,0,0,0,0,0,0
1,MLRB,4666,4095.06,49,35.88,47647,30532.94,638,451.88,3,2.97,1,1,331,171.48,68,27.84,0,0,0,0,67,25.13,15,5.47
RRB,Total,4666,4095.06,49,35.88,47647,30532.94,638,451.88,3,2.97,1,1,331,171.48,68,27.84,0,0,0,0,67,25.13,15,5.47
1,JUCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,MCAB,203,216.82,140,140.13,2633,2003.43,8325,3443.15,54,57.64,43,45.85,496,406.2,185,172.64,0,0,2,0.83,55,15.76,71,22.02
3,SCUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,TCUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand,Total,7449,7016.56,4371,4697.16,102321,77531.38,31700,16946.67,310,210.78,68,76.95,1013,775.54,316,235.49,0,34.84,3,1.13,123,42.41,86,27.49
