Sl No.,Bank Name,CY Disbursement No.,CY Disbursement Amt.,Outstanding No.,Outstanding Amt.
1,BOB,0,0,0,0
2,BOI,0,0,0,0
3,BOM,0,0,0,0
4,CAN,0,0,0,0
5,CBI,0,0,0,0
6,IND,0,0,0,0
7,IOB,0,0,0,0
8,PNB,0,0,0,0
9,PSB,0,0,0,0
10,SBI,0,0,0,0
11,UCO,0,0,0,0
12,UNI,0,0,0,0
Pub,Total,0,0,0,0
1,AXIS,2386,984.88,7587,1858.66
2,BAND,0,0,0,0
3,FED,0,0,0,0
4,HDFC,1088,541.88,2836,1672.79
5,ICICI,0,0,0,0
6,IDBI,3,15.6,7,23.7
7,IDFC,0,0,0,0
8,INDUS,0,0,0,0
9,KMB,0,0,0,0
10,SIB,0,0,0,0
11,YES,0,0,0,0
Priv,Total,3477,1542.36,10430,3555.15
1,ESAF,0,0,0,0
2,JSF,0,0,0,0
3,SSFB,0,0,1,0.03
4,UJJIVAN,0,0,45,2.97
SFB,Total,0,0,46,3
1,MLRB,0,0,4,2.89
RRB,Total,0,0,4,2.89
1,JUCB,0,0,0,0
2,MCAB,1,3,1132,618.94
3,SCUB,0,0,0,0
4,TCUB,0,0,0,0
Grand,Total,3478,1545.36,11612,4179.98
