Sl No.,Bank Name,Farm Credit Crop No,Farm Credit Crop Amt,Farm Cred- it Term Loan No,Farm Credit Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancil- lary No,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amount
1,BOB,670,642.16,70,243.7,1,0,16,775.75,757,1661.61
2,BOI,290,526.8,0,0,0,0,19,78.78,309,605.58
3,BOM,0,0,0,0,0,0,5,74.41,5,74.41
4,CAN,810,890.18,439,238.66,2,8.82,252,308.09,1503,1445.75
5,CBI,472,906.71,291,424.18,0,0,1,0.77,764,1331.66
6,IND,73,31.5,22,8.73,3,595.96,0,0,98,636.19
7,IOB,17,36.21,8,27.2,4,808.53,0,0,29,871.94
8,PNB,848,712,65,166.95,4,3448.61,83,510.46,1000,4838.02
9,PSB,0,0,0,0,0,0,0,0,0,0
10,SBI,50715,36897.85,765,2579.25,3,600.52,1557,4044.84,53040,44122.46
11,UCO,15,7.27,32,21.58,0,0,7,8.59,54,37.44
12,UNI,366,914.92,131,572.61,3,13.91,17,0,517,1501.44
Pub,Total,54276,41565.6,1823,4282.86,20,5476.35,1957,5801.69,58076,57126.5
1,AXIS,1,1.01,7085,1666.52,0,0,1,68.02,7087,1735.55
2,BAND,0,0,551,211.01,0,0,534,248.4,1085,459.41
3,FED,42,234.51,5,17.53,0,0,1,0.31,48,252.35
4,HDFC,2,6.59,5895,1598.42,0,0,2,161.91,5899,1766.92
5,ICICI,0,0,466,726.78,0,0,0,0,466,726.78
6,IDBI,12,11.35,11,29.45,1,2.8,11,60,35,103.6
7,IDFC,0,0,0,0,0,0,0,0,0,0
8,INDUS,0,0,0,0,0,0,0,0,0,0
9,KMB,0,0,0,0,0,0,0,0,0,0
10,SIB,19,69.95,0,0,0,0,0,0,19,69.95
11,YES,0,0,0,0,0,0,0,0,0,0
Priv,Total,76,323.41,14013,4249.71,1,2.8,549,538.64,14639,5114.56
1,ESAF,0,0,2,8.64,0,0,0,0,2,8.64
2,JSF,0,0,0,0,0,0,0,0,0,0
3,SSFB,1,0.03,0,0,0,0,493,70.92,494,70.95
4,UJJIVAN,0,0,44,34.1,0,0,0,0,44,34.1
Small FB,Total,1,0.03,46,42.74,0,0,493,70.92,540,113.69
1,MLRB,48045,30729.55,7733,12423.7,0,0,0,0,55778,43153.25
RRB,Total,48045,30729.55,7733,12423.7,0,0,0,0,55778,43153.25
1,JUCB,0,0,0,0,0,0,0,0,0,0
2,MCAB,11765,6063.16,0,0,15489,152776.4,0,0,27254,158839.56
3,SCUB,6,15.98,0,0,0,0,0,0,6,15.98
4,TCUB,0,0,0,0,0,0,0,0,0,0
Banks,Total,114169,78697.73,23615,20999.01,15510,158255.55,2999,6411.25,156293,264363.54
1,RIDF,0,0,0,0,0,0,0,0,0,103337.88
Grand,Total,114169,78697.73,23615,20999.01,15510,158255.55,2999,6411.25,156293,367701.42
