Sl No.,Bank Name,Current Year Self-Help Group No.,Current Year Self-Help Group Amount,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No.,NRLM Irregular A/C Amt.,NRLM NPA No.,NRLM NPA Amt.,NRLM NPA Amt. %
1,BOB,7,1.35,9,9.18,0,0,0,0,0
2,BOI,0,0,0,0,0,0,0,0,0
3,BOM,0,0,0,0,0,0,0,0,0
4,CAN,2,1.85,5,5.71,0,0,0,0,0
5,CBI,150,217.96,175,410.29,6,9.52,1,0,0
6,IND,0,0,1,0.85,0,0,1,0.85,100
7,IOB,0,0,0,0,0,0,0,0,0
8,PNB,4,24,23,42.1,0,0,0,0,0
9,PSB,0,0,0,0,0,0,0,0,0
10,SBI,901,1493.01,2096,3316.89,724,706.24,585,625.87,18.87
11,UCO,11,66,4,3.08,0,0,3,0.57,18.51
12,UNI,3,15.02,14,48.99,0,0,7,4.06,8.29
Pub,Total,1078,1819.19,2327,3837.09,730,715.76,597,631.35,16.45
1,AXIS,0,0,0,0,0,0,0,0,0
2,BAND,0,0,0,0,0,0,0,0,0
3,FED,0,0,0,0,0,0,0,0,0
4,HDFC,20,60.41,42,93.97,0,0,0,0,0
5,ICICI,0,0,0,0,0,0,0,0,0
6,IDBI,0,0,0,0,0,0,0,0,0
7,IDFC,0,0,0,0,0,0,0,0,0
8,INDUS,0,0,0,0,0,0,0,0,0
9,KMB,0,0,0,0,0,0,0,0,0
10,SIB,0,0,0,0,0,0,0,0,0
11,YES,0,0,0,0,0,0,0,0,0
Priv,Total,20,60.41,42,93.97,0,0,0,0,0
1,ESAF,0,0,0,0,0,0,0,0,0
2,JSF,0,0,0,0,0,0,0,0,0
3,SSFB,0,0,0,0,0,0,0,0,0
4,UJJIVAN,0,0,0,0,0,0,0,0,0
Small FB,Total,0,0,0,0,0,0,0,0,0
1,MLRB,1146,2768.84,13620,23021.92,156,180.74,156,180.74,0.79
RRB,Total,1146,2768.84,13620,23021.92,156,180.74,156,180.74,0.79
1,JUCB,0,0,0,0,0,0,0,0,0
2,MCAB,1018,1797,3901,3806.35,0,0,1314,1168.2,30.69
3,SCUB,0,0,0,0,0,0,0,0,0
4,TCUB,0,0,0,0,0,0,0,0,0
Grand,Total,3262,6445.44,19890,30759.33,886,896.5,2067,1980.29,6.44
