Sl No.,Bank Name,Agri NPS No.,Agri NPS Amt.,Education NPS No.,Education NPS Amt.,Housing NPS No.,Housing NPS Amt.,Personal Loan No.
1,BOB,0,0,11,210.61,298,8631.83,2750
2,BOI,0,0,0,0,2,74.94,543
3,BOM,0,0,0,0,0,0,0
4,CAN,1,4.43,5,43.56,104,3338.65,678
5,CBI,0,0,2,31.4,2,81.88,1146
6,IND,0,0,1,11.06,36,1421.37,269
7,IOB,0,0,3,83.02,34,1024.2,207
8,PNB,0,0,229,5405.2,165,4813.81,1182
9,PSB,0,0,0,0,3,48.95,63
10,SBI,0,0,268,5249.94,5810,98216.93,9733
11,UCO,0,0,0,0,36,1251.39,33
12,UNI,6,6.75,97,1727.33,24,1107.37,816
Pub,Total,7,11.18,616,12762.12,6514,120011.32,17420
1,AXIS,0,0,6,164.16,49,2211.45,4448
2,BAND,0,0,0,0,0,0,31
3,FED,0,0,0,0,6,501.88,110
4,HDFC,515,109.11,0,0,9,81.93,4593
5,ICICI,0,0,7,217.47,122,3943.04,1820
6,IDBI,0,0,0,0,35,1248.2,65
7,IDFC,0,0,0,0,0,0,7
8,INDUS,0,0,0,0,0,0,0
9,KMB,0,0,0,0,0,0,0
10,SIB,0,0,0,0,2,39.27,86
11,YES,0,0,0,0,0,0,27
Priv,Total,515,109.11,13,381.63,223,8025.77,11187
1,ESAF,0,0,0,0,0,0,0
2,JSF,0,0,0,0,0,0,0
3,SSFB,0,0,0,0,0,0,0
4,UJJIVAN,0,0,0,0,0,0,0
Small FB,Total,0,0,0,0,0,0,0
1,MLRB,0,0,4,86.57,330,14116.54,7258
RRB,Total,0,0,4,86.57,330,14116.54,7258
1,JUCB,0,0,0,0,23,917.68,430
2,MCAB,0,0,0,0,0,0,3549
3,SCUB,0,0,1,15.63,76,2164.91,603
4,TCUB,0,0,0,0,0,0,0
Grand,Total,522,120.29,634,13245.95,7166,145236.22,40447
13690.32,1709,12886.52,4768,35419.28,198,661.05,1.87,
1745.8,430,1746.26,975,3567,45,73.02,2.05,
0,87,572.28,87,572.28,26,33.32,5.82,
3907.23,803,3707.13,1591,11001,173,206.14,1.87,
12748.53,100,11.19,1250,12873,29,34.63,0.27,
2087.92,28,17.65,334,3538,32,25,0.71,
795.84,215,1650.56,459,3553.62,5,23.13,0.65,
4917.07,1146,70411.89,2722,85547.97,133,350.86,0.41,
112.44,46,75.12,112,236.51,9,23.4,9.89,
23021.15,94663,492061.65,110474,618549.67,1575,3857.24,0.62,
35.76,279,1288.6,348,2575.75,30,32.89,1.28,
3472,535,1784.55,1478,8098,286,309.45,3.82,
66534.06,100041,586213.4,124598,785532.08,2541,5630.13,0.72,
2347.28,8386,110133.48,12889,114856.37,438,563.27,0.49,
76.53,6735,4917.27,6766,4993.8,1182,241.08,4.83,
254.33,850,6902.79,966,7659,29,104.6,1.37,
20550.3,34132,85310.2,39249,106051.54,717,624.12,0.59,
7864.12,6528,34690.37,8477,46715,180,358.88,0.77,
1926.5,250,2691.3,350,5866,29,690,11.76,
3.52,14672,8425.6,14679,8429.12,135,38.49,0.46,
0,2067,15103.77,2067,15103.77,16,93.1,0.62,
0,5,1950.77,5,1950.77,0,0,0,
131.13,82,363.6,170,534,3,1.64,0.31,
184.82,170,2085.55,197,2270.37,1,2.17,0.1,
33338.53,73877,272574.7,85815,314429.74,2730,2717.35,0.86,
0,70,119.8,70,119.8,2,4.84,4.04,
0,0,0,0,0,0,0,,
0,66,490.89,66,490.89,0,0,0,
0,1093,665.92,1093,665.92,27,3.7,0.56,
0,1229,1276.61,1229,1276.61,29,8.54,4.6,
28237.34,1139,12894.2,8731,55334.65,154,217.08,0.39,
28237.34,1139,12894.2,8731,55334.65,154,217.08,0.39,
1120.27,279,602.93,732,2640.88,34,47.93,1.81,
14431.62,1109,2606.66,4658,17038.28,984,1931.63,11.34,
2104.85,148,755.29,828,5040.68,6,14.03,0.28,
0,207,203.84,207,203.84,207,203.84,100,
145766.67,178029,877127.63,226798,1181496.76,6685,10770.53,0.91,
1,BOB,0,0,0,0,0,0,129
2,BOI,0,0,0,0,0,0,9
3,BOM,0,0,0,0,0,0,0
4,CAN,0,0,0,0,0,0,21
5,CBI,0,0,0,0,0,0,25
6,IND,0,0,0,0,1,2.12,5
7,IOB,0,0,0,0,0,0,1
8,PNB,0,0,0,0,0,0,38
9,PSB,0,0,0,0,0,0,5
10,SBI,0,0,0,0,21,238.44,161
11,UCO,0,0,0,0,0,0,10
12,UNI,0,0,0,0,4,7.17,48
Pub,Total,0,0,0,0,26,247.73,452
1,AXIS,0,0,0,0,1,53.48,105
2,BAND,0,0,0,0,0,0,0
3,FED,0,0,0,0,0,0,2
4,HDFC,46,9.96,0,0,0,0,32
5,ICICI,0,0,0,0,1,36.6,35
6,IDBI,0,0,0,0,0,0,1
7,IDFC,0,0,0,0,0,0,0
8,INDUS,0,0,0,0,0,0,0
9,KMB,0,0,0,0,0,0,0
10,SIB,0,0,0,0,0,0,3
11,YES,0,0,0,0,0,0,1
Priv,Total,46,9.96,0,0,2,90.08,179
1,ESAF,0,0,0,0,0,0,0
2,JSF,0,0,0,0,0,0,0
3,SSFB,0,0,0,0,0,0,0
4,UJJIVAN,0,0,0,0,0,0,0
Small FB,Total,0,0,0,0,0,0,0
1,MLRB,0,0,0,0,0,0,154
RRB,Total,0,0,0,0,0,0,154
1,JUCB,0,0,0,0,0,0,22
2,MCAB,0,0,0,0,0,0,895
3,SCUB,0,0,0,0,0,0,6
4,TCUB,0,0,0,0,0,0,0
Grand,Total,46,9.96,0,0,28,337.81,1708
