Sl No.,Bank Name,Ex- port No,Ex- port Amt,Ed- uca- tion PS No,Edu- cation PS Amt,Hous- ing PS No,Hous- ing PS Amt,Social Infra No,Social Infra Amt,Re- new- able No,Re- new- able Amt,Other PS No,Other PS Amt,Tot Other (PS) NPA No.,Tot Oth- er (PS) NPA Amt.
1,BOB,0,0,9,31.19,1,13.42,0,0,0,0,0,0,10,44.61
2,BOI,0,0,1,4.77,0,0,0,0,0,0,0,0,1,4.77
3,BOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CAN,0,0,9,21.37,2,6.97,0,0,0,0,3,0.57,14,28.91
5,CBI,0,0,1,0.58,0,0,0,0,0,0,0,0,1,0.58
6,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,IOB,0,0,0,0,2,25.39,0,0,0,0,0,0,2,25.39
8,PNB,0,0,17,37.45,3,12.12,0,0,0,0,0,0,20,49.57
9,PSB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SBI,0,0,27,54.89,10,49.47,0,0,0,0,0,0,37,104.36
11,UCO,0,0,1,3.34,2,7.65,0,0,0,0,2,1.18,5,12.17
12,UNI,0,0,4,24.43,0,0,0,0,0,0,4,0.06,8,24.49
Pub,Total,0,0,69,178.02,20,115.02,0,0,0,0,9,1.81,98,294.85
1,AXIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,BAND,0,0,0,0,0,0,0,0,0,0,19,6.57,19,6.57
3,FED,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,HDFC,0,0,0,0,3,2.6,0,0,0,0,239,27.39,242,29.99
5,ICICI,0,0,1,4.5,0,0,0,0,0,0,0,0,1,4.5
6,IDBI,0,0,0,0,1,8.2,0,0,0,0,0,0,1,8.2
7,IDFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,INDUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,KMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priv,Total,0,0,1,4.5,4,10.8,0,0,0,0,258,33.96,263,49.26
1,ESAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,JSF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,SSFB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,UJJIVAN,0,0,0,0,0,0,0,0,0,0,31,2.75,31,2.75
Small FB,Total,0,0,0,0,0,0,0,0,0,0,31,2.75,31,2.75
1,MLRB,0,0,9,18.52,23,229.04,0,0,0,0,1290,2134.49,1322,2382.05
RRB,Total,0,0,9,18.52,23,229.04,0,0,0,0,1290,2134.49,1322,2382.05
1,JUCB,0,0,0,0,3,9.47,0,0,0,0,8,58.16,11,67.63
2,MCAB,0,0,35,89.68,179,635.67,80,188.23,0,0,0,0,294,913.58
3,SCUB,0,0,1,0.44,0,0,0,0,0,0,706,214.62,707,215.06
4,TCUB,0,0,0,0,4,19.2,0,0,0,0,244,434.64,248,453.84
Grand,Total,0,0,115,291.16,233,1019.2,80,188.23,0,0,2546,2880.43,2974,4379.02
