Sl No.,Bank Name,SC Disb No.,SC Disb Amt.,SC O/S No.,SC O/S Amt.,ST Disb No.,ST Disb Amt.,ST O/S No.,ST O/S Amt.
1,BOB,14,106.81,245,1235.72,801,5745.81,8521,48724
2,BOI,0,0,9,37.32,20,35,54,172.38
3,BOM,1,15.1,0,0,4,7.27,4,7.1
4,CAN,31,133.84,158,394.51,453,1927.01,3243,14260.18
5,CBI,28,117.74,54,497.67,86,360.28,320,1866.24
6,IND,4,14.45,11,26.61,33,576.68,86,1249.42
7,IOB,0,0,0,0,13,60.13,110,652.1
8,PNB,6,25.7,87,449.39,294,1689.31,3908,17383.82
9,PSB,2,6.5,24,58.2,6,10.5,72,162.7
10,SBI,502,3335.78,1985,9995.78,2095,9090.82,8560,36703.82
11,UCO,0,0,18,105.45,97,350.03,693,1338.93
12,UNI,12,52.96,54,257.52,283,887.04,1816,6779.8
Pub,Total,600,3808.88,2645,13058.17,4185,20739.88,27387,129300.49
1,AXIS,1,3.5,43,182.24,30,212.36,1292,5890.36
2,BAND,103,126.8,492,248.27,472,565.49,2043,1167.16
3,FED,10,15.62,23,59.12,105,613.36,463,2637.39
4,HDFC,4,25.27,45,519.88,20,797.4,543,7981.29
5,ICICI,7,56.75,62,300.34,114,893.6,854,4847.25
6,IDBI,0,0,2,8,38,805.6,242,3375.7
7,IDFC,10,5.25,74,36.05,1737,1230.29,10220,5802.72
8,INDUS,0,0,5,36.78,17,600.17,278,4271.26
9,KMB,0,0,0,0,0,0,0,0
10,SIB,0,0,0,0,4,11.38,23,38.53
11,YES,0,0,0,0,0,0,1,40.26
Priv,Total,135,233.19,746,1390.68,2537,5729.65,15959,36051.92
1,ESAF,0,0,0,0,0,0,0,0
2,JSF,0,0,0,0,0,0,0,0
3,SSFB,0,0,11,13.72,12,50.57,298,558.52
4,UJJIVAN,31,30.3,120,65.63,1197,859.83,6937,3050.64
Small FB,Total,31,30.3,131,79.35,1209,910.4,7235,3609.16
1,MLRB,8,13.72,69,175.31,6093,11448.98,81523,156884.74
RRB,Total,8,13.72,69,175.31,6093,11448.98,81523,156884.74
1,JUCB,81,423.3,732,2640.88,112,542.85,1090,9453.79
2,MCAB,0,0,0,0,954,3000.13,36071,42977.8
3,SCUB,1,0.5,39,13.24,716,2199.51,3239,6679.74
4,TCUB,0,0,0,0,55,80.65,314,439.28
Grand,Total,856,4509.89,4362,17357.63,15861,44652.05,172818,385396.92
