Sl No.,Bank Name,BHIM/UPI A/c,BHIM/UPI Amt.,BHIM Aadhaar A/C,BHIM Aadhaar Amt.,Bharat QR Code A/C,Bharat QR Code Amt.,IMPS A/C,IMPS Amt.,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt.,USSD A/C,USSD Amt.
1,BOB,4285338,57973.42,0,0,0,0,39493,8304.54,319179,11823.73,1,1
2,BOI,345,578.58,213,36.1,0,0,596,358.32,2260,452.45,0,0
3,BOM,620,800,200,45,250,4500,210,4800,600,3200,0,0
4,CAN,4689488,66832.57,0,0,0,0,0,0,169159,7095.8,21,0.03
5,CBI,11606,22014.09,0,0,0,0,3358,4415.66,5498,1963.35,0,0
6,IND,1032783,11366.36,0,0,0,0,12588,1750.21,48381,1694.07,0,0
7,IOB,356,41,685,71,356,41,1960,238,1960,237,0,0
8,PNB,3647181,51778.85,1,0.01,0,0,75209,6787.46,161062,7424.92,0,0
9,PSB,15,8.16,0,0,2,4.5,5,2.8,0,0,0,0
10,SBI,108847859,1269239.76,6,0.35,0,0,899,21.84,624,4.84,799855,21709.23
11,UCO,0,0,0,0,0,0,25700,2970.44,36354,1711.54,0,0
12,UNI,1985155,27414.53,698,11.7,0,0,51358,4722.2,6538,6.88,0,0
Public,Total,124500746,1508047.32,1803,164.16,608,4545.5,211376,34371.47,751615,35614.58,799877,21710.26
1,AXIS,17338,64982.2,0,0,9176,1062.69,3808,1817302.31,5639,2382.82,0,0
2,BAND,378326,6849.18,0,0,21,80.04,2338,539.98,1931,51.15,0,0
3,FED,46443,1099.06,0,0,0,0,17893,3259.52,20282,823.83,0,0
4,HDFC,11972038,320846.69,0,0,152,3.73,412561,101397.2,428500,16397.48,0,0
5,ICICI,8699,29535.48,0,0,3305,261.53,4387,17235.72,1846,1009.85,0,0
6,IDBI,1961,2782,4,0.5,0,0,1356,493.8,1721,49.7,1,1
7,IDFC,0,0,0,0,0,0,4,9.5,3,0.1,0,0
8,INDUS,277450,9904.21,0,0,0,0,63158,10979.91,540,8.71,0,0
9,KMB,312461,362821.45,0,0,0,0,3830,995.78,3461,180.01,494,2.91
10,SIB,92513,3470.83,0,0,0,0,7676,2689.6,13278,693.62,0,0
11,YES,188825,4520.77,1,0.01,7751,99.55,8468,2349.83,13609,311.35,0,0
Private,Total,13296054,806811.87,5,0.51,20405,1507.54,525479,1957253.15,490810,21908.62,495,3.91
1,ESAF,32894,510.64,0,0,0,0,217,39.7,809,35.91,0,0
2,JSF,0,0,0,0,0,0,0,0,0,0,0,0
3,SSFB,0,0,0,0,0,0,1565,3092.71,745,22.86,0,0
4,UJJIVAN,151592,1856.07,0,0,0,0,1576,458.28,19139,904.83,0,0
Small FB,Total,184486,2366.71,0,0,0,0,3358,3590.69,20693,963.6,0,0
1,APBL,11,5.8,11,5.8,0,0,3,0.09,0,0,0,0
Payment B,Total,11,5.8,11,5.8,0,0,3,0.09,0,0,0,0
1,MLRB,11969287,104990.12,0,0,0,0,54236,14656.19,951033,34014.06,0,0
RRB,Total,11969287,104990.12,0,0,0,0,54236,14656.19,951033,34014.06,0,0
1,JUCB,0,0,0,0,0,0,0,0,0,0,0,0
2,MCAB,3956656,41872.09,0,0,0,0,33671,5278.09,400517,18690.44,0,0
3,SCUB,526546,4738.58,0,0,42528,257,18770,3112,248958,9191.14,0,0
4,TCUB,0,0,0,0,0,0,0,0,0,0,0,0
Grand,Total,154433786,2468832.49,1819,170.47,63541,6310.04,846893,2018261.68,2863626,120382.44,800372,21714.17
