District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no
Etah,95.0,19.0,,,
Gautam Buddha Nagar,104.0,1.32,,,
Hapur,46.0,5.0,,,
Kushi Nagar,14.0,2.19,,,
Mainpuri,105.0,9.0,192.0,2.2,
Mathura,143.0,18.0,,,
Mau,25.0,3.0,54.0,289.0,3.14
Meerut,222.0,12.0,,,
Mirzapur,94.0,28.0,211.0,1.41,
Moradabad,165.0,17.0,213.0,2.1,
Muzaffarnagar,166.0,105.0,1.38,,
Pilibhit,86.0,64.0,0.79,,
Pratapgarh,51.0,29.0,128.0,1.78,
Rampur,136.0,1.04,,,
Sant Kabeer Nagar,3.0,15.0,0.12,,
Shravasti,22.0,0.28,,,
Sitapur,68.0,1.99,,,
Sultanpur,52.0,0.46,,,
