District,target_no,target_amt,achievement_no,achievement_amt,achievement_pct_no,achievement_pct_amt
Agra,5.0,7.0,4.0,4.0,0.0,
Aligarh,3.0,3.0,3.0,3.0,0.0,0.0
Ambedkar Nagar,2.0,1.0,0.0,4.0,1.0,
Amethi,1.0,1.0,0.0,0.0,,
Amroha,3.0,3.0,3.0,3.0,0.0,0.0
Auraiya,1.0,2.0,1.0,1.0,1.0,0.0
Ayodhya,2.0,2.0,2.0,2.0,0.0,0.0
Azamgarh,2.0,2.0,2.0,2.0,0.0,0.0
Baghpat,2.0,2.0,2.0,2.0,0.0,0.0
Bahraich,2.0,1.0,1.0,1.0,0.0,
Ballia,1.0,0.0,0.0,0.0,0.0,0.0
Balrampur,1.0,1.0,1.0,0.0,,
Banda,2.0,1.0,20.0,7.0,,
Barabanki,21153.0,341.05,,,,
Bareilly,63724.0,1291.97,,,,
Basti,1.0,1.0,,,,
Bijnor,74130.0,976.93,0.0,,,
Budaun,17904.0,236.14,0.0,,,
Bulandshahr,37085.0,419.19,0.0,,,
Chandauli,1.0,2.0,0.0,,,
Chitrakoot,8.0,7.0,7.0,0.0,,
Deoria,1.0,2.0,19.0,0.0,,
Etah,1.0,1.0,,,,
Etawah,2940.0,55.36,45.0,,,
Farrukhabad,8781.0,134.93,28.0,0.0,,
Fatehpur,1.0,1.0,,,,
Firozabad,3.0,3.0,10.0,,,
Gautam Buddha Nagar,0.0,1.0,19.0,0.0,0.0,
Ghaziabad,7.0,8.0,0.0,,,
Ghazipur,17794.0,238.98,11.0,0.0,0.0,
Gonda,0.0,1.0,13.0,,,
Gorakhpur,3.0,4.0,,,,
Hamirpur,2.0,1.0,24.0,0.0,,
Hapur,2.0,1.0,40.0,,,
Hardoi,2.0,2.0,29.0,,,
Hathras,1.0,1.0,,,,
Jalaun,2.0,2.0,0.0,,,
Jhansi,3.0,4.0,67.0,8.0,0.0,
Kannauj,2.0,1.0,26.0,0.0,,
Kanpur Dehat,1.0,0.0,0.0,,,
Kanpur Nagar,159.0,159.0,155.0,4.0,,
Kasganj,0.0,0.0,0.0,,,
Kaushambi,0.0,1.0,12.0,,,
Kheri,2.0,3.0,33.0,0.0,,
Kushi Nagar,1600.0,140.0,,,,
Lalitpur,2.0,3.0,43.0,0.0,,
Lucknow,5.0,10.0,,,,
Maharajganj,40.0,12.0,11.0,28.0,,
Mahoba,1.0,1.0,1.0,0.0,0.0,
Mainpuri,1.0,1.0,0.0,0.0,,
Mathura,3.0,4.0,3.0,3.0,0.0,
Meerut,71332.0,1402.88,4.0,4.0,0.0,0.0
Mirzapur,2.0,1.0,1.0,1.0,0.0,0.0
Moradabad,314970.0,5103.09,0.0,0.0,,
Muzaffarnagar,86510.0,1025.08,3.0,3.0,0.0,0.0
Pilibhit,28330.0,779.95,2.0,2.0,0.0,0.0
Pratapgarh,1.0,1.0,1.0,1.0,0.0,
Prayagraj,51821.0,702.27,4.0,4.0,0.0,0.0
Rae Bareli,1.0,1.0,1.0,1.0,0.0,0.0
Rampur,2.0,2.0,2.0,0.0,0.0,
Saharanpur,91528.0,1368.32,2.0,12.0,,
Sambhal,2.0,4.0,2.0,0.0,,
Shahjahanpur,2.0,2.0,,,,
Shamli,22629.0,389.68,7.0,,,
Siddharth Nagar,11.0,11.0,0.0,,,
Sitapur,3.0,4.0,0.0,,,
Sonbhadra,11660.0,128.19,,,,
Unnao,2.0,3.0,,,,
