District,shishu_no,shishu_amt,kishore_no,kishore_amt,tarun_no,tarun_amt,total_no,total_amt
Ayodhya,23022.0,72.59,72.07,103.52,958.0,81.32,77.64,30061.0
Ballia,61136.0,180.63,179.27,13954.0,146.0,139.45,807.0,67.28
Bareilly,44938.0,140.92,139.14,7949.0,130.08,126.24,1406.0,108.2
Basti,85.9,84.15,,,,,,
Bhadohi,24690.0,78.5,77.88,7480.0,77.07,74.52,480.0,38.82
Bulandshahr,51879.0,194.1,191.98,125.31,,,,
Chandauli,33329.0,108.51,94.62,,,,,
Farrukhabad,1633.0,2198.0,4258.0,,,,,
Fatehpur,26.39,25.56,,,,,,
Gautam Buddha Nagar,14547.0,38.98,38.38,2573.0,,,,
Ghaziabad,36464.0,109.83,108.49,137.5,134.01,1947.0,161.02,155.09
Ghazipur,123.65,323.91,,,,,,
Gorakhpur,147368.0,473.34,471.21,38267.0,351.34,2381.0,200.48,192.41
Jalaun,5581.0,15.57,15.25,1114.0,24.18,22.7,325.0,25.95
Jaunpur,50568.0,173.02,158.16,15977.0,180.1,416.7,,
Jhansi,25019.0,72.18,71.34,3592.0,55.12,50.41,717.0,56.74
Kaushambi,10351.0,35.78,35.06,,,,,
Kheri,22589.0,64.8,63.38,3778.0,65.8,62.51,503.0,41.27
Lalitpur,849.0,1027.0,,,,,,
Lucknow,49982.0,155.92,154.37,,,,,
Mahoba,12.2,11.98,631.0,,,,,
Mainpuri,3337.0,4.57,4.22,2460.0,54.24,50.97,669.0,54.35
Mathura,47861.0,166.08,164.15,6233.0,75.37,73.35,794.0,63.39
Mau,21379.0,65.12,64.58,468.0,37.75,,,
Meerut,50505.0,166.04,164.06,1617.0,,,,
Mirzapur,40893.0,133.66,119.87,111.16,109.64,654.0,54.18,52.79
Muzaffarnagar,225.82,221.94,7882.0,89.06,85.1,958.0,79.66,75.69
Pilibhit,3754.0,11.19,10.45,39.53,5960.0,,,
Pratapgarh,12868.0,40.51,39.72,,,,,
Rae Bareli,18913.0,57.05,,,,,,
Sambhal,16067.0,55.96,55.05,,,,,
Shahjahanpur,16602.0,50.27,49.63,2550.0,50.88,49.48,697.0,57.53
Shamli,31239.0,95.73,,,,,,
Shravasti,1270.0,3.69,3.66,806.0,17.52,17.29,155.0,12.46
Siddharth Nagar,15291.0,30.76,29.35,,,,,
Sultanpur,21000.0,68.81,68.24,7836.0,101.72,99.72,826.0,68.53
Unnao,8358.0,25.35,24.73,4394.0,74.45,,,
