District,total_deposit,total_advances,cd_ratio
Aligarh,25491.85,12931.23,50.73
Barabanki,9717.42,7109.01,
Bhadohi,6644.26,2890.42,43.5
Bulandshahr,15949.39,8122.1,
Chitrakoot,3087.25,1690.89,
Farrukhabad,7065.41,3340.39,47.28
Fatehpur,8673.07,3678.61,42.41
Ghaziabad,76833.8,32352.17,42.11
Gonda,8076.92,3243.4,
Hapur,7122.05,4473.99,62.82
Hathras,6293.3,4018.99,63.86
Kanpur Dehat,5749.51,2580.92,44.89
Kasganj,3353.99,2392.92,71.35
Kheri,7610.25,80.15,
Kushi Nagar,9036.6,4425.68,
Lalitpur,3522.33,2345.7,66.6
Mathura,19117.57,11448.63,59.89
Mirzapur,9992.68,4053.84,40.57
Moradabad,39529.09,71.88,
Muzaffarnagar,14712.66,10337.68,
Pilibhit,3213.0,50.0,4603.22
Rae Bareli,14102.59,6047.22,42.88
Sambhal,3357.92,2493.61,74.26
Siddharth Nagar,6139.21,2297.39,37.42
Sitapur,10280.49,5701.96,
Sonbhadra,9906.96,4359.65,44.01
Sultanpur,9954.6,3673.85,36.91
Unnao,12890.33,3693.25,28.65
