District,subscribers_fy15,subscribers_fy16,subscribers_fy17,subscribers_fy18
Bahraich,15310.0,21788.0,95223.0,
Ballia,14139.0,82.68,,
Balrampur,11040.0,9010.0,81.61,61834.0
Banda,17832.0,162.7,85777.0,
Bareilly,28780.0,27083.0,94.1,161114.0
Kushi Nagar,18697.0,125.15,80156.0,
Lalitpur,6634.0,94.23,44641.0,
Mau,9534.0,78.21,56583.0,
Mirzapur,16925.0,117.94,82141.0,
Moradabad,12761.0,49.65,,
Muzaffarnagar,15385.0,72.43,90039.0,
Pilibhit,10249.0,88.74,,
Pratapgarh,25315.0,137.51,142550.0,
Prayagraj,38144.0,98.72,226942.0,
Rae Bareli,25030.0,107.01,,
Saharanpur,17829.0,82.73,111264.0,
Sambhal,5687.0,53984.0,,
Sant Kabeer Nagar,10862.0,112.21,,
Shahjahanpur,17634.0,101.81,,
Shamli,6190.0,4511.0,72.88,31107.0
Shravasti,5440.0,4453.0,81.86,23459.0
Siddharth Nagar,13167.0,115.1,70464.0,
Sitapur,26471.0,117.86,123983.0,
Sonbhadra,10645.0,94.29,,
Sultanpur,16400.0,29608.0,180.54,
Unnao,15870.0,23753.0,,
Varanasi,35520.0,21620.0,60.87,146342.0
