District,col_1,col_2,col_3
Aligarh,9209.89,2829.2,
Amethi,1532.34,963.58,
Amroha,4300.04,8.65,
Auraiya,822.9,359.42,43.68
Ayodhya,1285.48,47.64,
Balrampur,446.14,14.49,
Banda,841.75,36.39,
Barabanki,4190.07,2488.65,59.39
Bareilly,7787.79,723.17,25.71
Bhadohi,2211.38,921.5,41.67
Bijnor,8043.27,22.71,
Bulandshahr,6520.16,1658.0,
Deoria,3522.21,989.39,
Etah,3900.79,911.34,23.36
Etawah,1368.4,705.02,51.52
Firozabad,4731.28,1502.3,31.75
Gautam Buddha Nagar,16017.49,13241.43,82.67
Ghaziabad,13348.33,5555.46,
Gorakhpur,6563.76,3192.64,
Hapur,3520.75,1144.87,32.52
Hardoi,0.03,1562.32,
Jalaun,3250.54,27.29,
Jaunpur,2588.88,1439.63,55.61
Kannauj,882.64,34.26,
Kanpur Dehat,1837.26,718.55,39.11
Kanpur Nagar,2943.23,7902.67,268.5
Kasganj,2137.13,554.89,25.96
Kaushambi,788.91,506.66,64.22
Kheri,3998.37,2267.95,56.72
Kushi Nagar,4492.46,1016.55,22.63
Lucknow,12.32,8984.51,72926.22
Maharajganj,2438.56,813.81,
Mainpuri,692.77,23.9,
Mathura,5699.92,2103.71,36.91
Mau,2586.84,630.8,24.38
Meerut,13971.21,3975.3,28.45
Mirzapur,2524.7,1363.84,
Muzaffarnagar,7839.95,2595.22,33.1
Pilibhit,4158.17,1273.86,30.64
Pratapgarh,1807.82,906.49,50.14
Rae Bareli,2856.73,1707.94,59.79
Rampur,5860.77,806.73,13.76
Saharanpur,7450.22,2426.04,
Sambhal,2812.51,14.34,
Shahjahanpur,3146.58,2136.18,67.89
Shamli,2848.79,754.55,26.49
Shravasti,672.35,551.66,82.05
Sitapur,2330.66,1653.8,70.96
Sonbhadra,1292.61,1034.28,80.01
Sultanpur,1419.46,849.17,59.82
Unnao,2389.83,833.9,34.89
Varanasi,4741.41,5448.26,114.91
