Bankwise Branch Network Report of Meghalaya as on date 30-06-2021,,,,,,,,,,,,
Sl No.,Bank Name,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,ATM Rural,ATM Semi-Urban,ATM Urban,Total ATM,BC Fixed,BC Other,BC Total
1,BOB,1,4,3,8,3,5,6,14,3,0,3
2,BOI,0,1,3,4,0,0,1,1,0,0,0
3,BOM,0,0,1,1,0,0,0,0,0,0,0
4,CAN,5,4,6,15,3,4,7,14,2,0,2
5,CBI,0,4,4,8,0,2,3,5,6,0,6
6,IND,2,0,3,5,1,0,2,3,2,0,2
7,IOB,0,1,2,3,0,1,1,2,0,0,0
8,IPPB,1,5,2,8,0,0,0,0,239,0,239
9,PNB,13,7,8,28,8,5,7,20,7,0,7
10,PSB,0,0,1,1,0,0,1,1,0,0,0
11,SBI,73,16,21,110,81,35,160,276,182,28,210
12,UCO,3,1,2,6,0,0,1,1,0,0,0
13,UNI,2,3,4,9,1,2,5,8,6,0,6
Pub,Total,100,46,60,206,97,54,194,345,447,28,475
1,AXIS,1,3,6,10,2,6,8,16,5,0,5
2,BANDHAN,1,2,5,8,0,0,0,0,0,0,0
3,FED,0,0,2,2,0,0,1,1,0,0,0
4,HDFC,8,8,4,20,9,10,10,29,100,13,113
5,ICICI,4,6,3,13,5,6,3,14,0,0,0
6,IDBI,1,1,0,2,1,2,0,3,0,0,0
7,IDFC,0,0,0,0,0,0,0,0,7,0,7
8,INDUS,0,3,1,4,0,1,1,2,4,0,4
9,KMB,0,0,1,1,0,0,1,1,1,0,1
10,NESFB,4,3,1,8,0,0,0,0,0,0,0
11,SIB,0,0,1,1,0,0,1,1,0,0,0
12,UJJ,0,0,1,1,0,0,1,1,0,0,0
13,YES,0,0,1,1,0,0,1,1,0,0,0
Priv,Total,19,26,26,71,17,25,27,69,117,13,130
1,MLRB,70,16,4,90,0,0,0,0,0,104,104
RRB,Total,70,16,4,90,0,0,0,0,0,104,104
1,JUCB,1,0,1,2,0,0,0,0,0,0,0
2,MCAB,0,25,25,50,0,2,12,14,0,0,0
3,SCUB,0,0,5,5,0,0,0,0,0,0,0
4,TCUB,0,1,1,2,0,0,0,0,0,0,0
Grand,Total,190,114,122,426,114,81,233,428,=K16+K30+K32+K33+K34+K35+K36,=L16+L30+L32+L33+L34+L35+L36,709
