District,col_1,col_2,col_3,col_4,col_5,col_6
Amroha,211047.0,5230.52,42459.0,20.12,18.26,
Baghpat,3275.75,485.72,14.83,,,
Bahraich,258727.0,6237.57,42686.0,769.61,16.5,12.34
Ballia,3543.67,8399.0,,,,
Balrampur,118275.0,2502.87,19754.0,456.79,16.7,18.25
Banda,2931.34,4.73,3.86,,,
Barabanki,313113.0,7055.13,483.18,,,
Bareilly,643759.0,16778.52,193346.0,2558.81,30.03,15.25
Bhadohi,3040.44,9439.0,8.39,10.99,,
Bulandshahr,348701.0,48740.0,13.98,7.7,,
Deoria,238348.0,4493.55,,,,
Etawah,130.22,7.2,,,,
Farrukhabad,165299.0,3436.86,8440.0,179.46,5.11,5.22
Fatehpur,233324.0,4769.54,11406.0,5.24,,
Firozabad,241702.0,6674.53,20771.0,8.59,,
Gautam Buddha Nagar,41747.98,37654.0,15.04,,,
Ghaziabad,220018.0,30089.9,53620.0,24.37,6.23,
Ghazipur,296044.0,29186.0,9.86,,,
Gonda,5221.98,17841.0,7.13,,,
Gorakhpur,50519.0,8.76,5.77,,,
Hamirpur,2284.64,6650.0,4.75,,,
Hapur,5354.42,33695.0,23.75,13.76,,
Hardoi,6143.18,21921.0,6.16,,,
Hathras,4307.83,15658.0,4.65,,,
Jalaun,3247.36,8379.0,4.91,,,
Jaunpur,6813.47,22559.0,5.21,,,
Jhansi,8397.56,12708.0,4.69,,,
Kannauj,3471.76,10769.0,7.05,,,
Kanpur Dehat,2970.43,8486.0,5.03,,,
Kanpur Nagar,28010.25,48484.0,2156.85,11.88,7.7,
Kasganj,2788.67,5.44,5.35,,,
Kaushambi,10888.0,185.0,,,,
Kheri,390235.0,9006.7,60217.0,15.52,,
Lucknow,1173488.0,53705.64,236977.0,4210.58,20.19,7.84
Maharajganj,243552.0,3918.08,315.67,6.87,,
Mau,142577.0,3024.98,9657.0,219.42,6.77,7.25
Meerut,450733.0,20471.25,2637.0,21.58,,
Mirzapur,189097.0,4416.06,10437.0,199.78,5.52,
Moradabad,13098.09,107849.0,2937.73,,,
Muzaffarnagar,13190.39,15.44,,,,
Pilibhit,302587.0,5630.19,,,,
Pratapgarh,17931.0,6.68,9.16,,,
Prayagraj,15172.91,8.38,,,,
Rampur,239880.0,6176.42,,,,
Saharanpur,12170.88,113826.0,18.6,,,
Sambhal,204719.0,35383.0,15.42,,,
Sant Kabeer Nagar,180622.0,2232.73,18947.0,217.84,10.49,9.76
Shahjahanpur,8578.9,34203.0,938.17,10.62,10.94,
Shamli,3944.1,17.54,,,,
Shravasti,87306.0,1342.6,12.83,11.55,,
Siddharth Nagar,148371.0,2381.06,15809.0,327.87,10.66,13.77
Sitapur,357188.0,6428.79,33088.0,584.31,9.26,9.09
Sonbhadra,3801.13,8875.0,179.49,,,
Sultanpur,3838.84,7.22,8.19,,,
Unnao,3833.74,4.92,4.87,,,
