District,sc_st_loans,sc_st_amount,women_loans,women_amount,total_loans,total_amount
Ambedkar Nagar,268.0,50.2,186.0,26.26,,
Amethi,239.0,51.01,192.0,33.38,,
Azamgarh,1560.0,17742.0,57.735,4.0,6.36,71.31
Baghpat,168.0,1061.0,1202.0,58.0,0.21,3.02
Bahraich,4109.0,258.0,19.41,,,
Ballia,37.3,119.32,2981.25,,,
Balrampur,762.0,8502.0,18354.0,15.0,4.0,44.72
Banda,2824.0,144.0,80.0,,,
Barabanki,4188.0,297.0,179.0,,,
Bareilly,873.0,6829.0,91.0,4.27,51.72,51.75
Basti,4937.0,297.0,,,,
Bhadohi,537.0,12872.0,51156.0,298.0,6.95,80.09
Bijnor,578.0,1208.0,4973.0,0.78,9.19,42.12
Budaun,809.0,15823.0,30037.0,240.0,6.43,88.48
Bulandshahr,814.0,19575.0,53508.0,23.0,7.72,109.75
Chandauli,645.0,6015.0,22486.0,353.0,4.38,49.44
Chitrakoot,334.0,25623.0,97069.0,1019.0,18.31,173.42
Deoria,5559.0,326.0,384.0,48.09,,
Etah,554.0,11209.0,39585.0,104.0,4.97,76.92
Etawah,466.0,16754.0,52355.0,819.0,6.91,95.0
Farrukhabad,537.0,9283.0,30126.0,3.88,87.72,5.12
Fatehpur,254.0,51.3,210.0,35.43,,
Firozabad,13172.0,29842.0,1244.0,5.07,168.08,4.52
Gautam Buddha Nagar,128.0,4311.0,8291.0,6.0,1.95,25.34
Ghaziabad,116.0,941.0,1991.0,0.41,5.47,2.83
Ghazipur,6325.0,343.0,,,,
Gonda,5146.0,243.0,,,,
Gorakhpur,9531.0,921.0,,,,
Hamirpur,1695.0,87.0,,,,
Hapur,242.0,2159.0,3870.0,2.0,0.64,9.1
Hardoi,6441.0,334.0,27.41,,,
Hathras,444.0,12376.0,27934.0,146.0,4.43,128.04
Jalaun,2781.0,171.0,,,,
Jaunpur,1587.0,23052.0,71204.0,1018.0,9.52,114.18
Jhansi,506.0,103.86,386.0,58.42,,
Kannauj,497.0,21476.0,51337.0,17.0,9.55,252.2
Kanpur Dehat,13344.0,1085.0,,,,
Kanpur Nagar,499.0,25835.0,90876.0,171.0,12.62,204.18
Kasganj,396.0,10061.0,47632.0,15.0,4.39,63.02
Kaushambi,486.0,22021.0,85628.0,272.0,9.55,101.13
Kheri,963.0,8002.0,27088.0,435.0,445.0,58.91
Kushi Nagar,19989.0,1064.0,124.0,22.12,,
Lalitpur,10239.0,438.0,,,,
Lucknow,475.0,18723.0,54.288,35.0,5.93,63.89
Mainpuri,545.0,17.655,174.0,2.37,81.36,3.83
Mathura,5352.0,416.0,,,,
Mau,661.0,9311.0,28068.0,19.0,3.38,39.82
Meerut,7081.0,874.0,,,,
Mirzapur,5526.0,301.0,,,,
Moradabad,498.0,10032.0,15.0,2.06,26.15,17.87
Muzaffarnagar,164.0,610.0,1570.0,3.0,0.19,2.53
Pilibhit,675.0,6558.0,21239.0,108.0,5.77,79.53
Pratapgarh,6471.0,300.0,,,,
Prayagraj,10967.0,978.0,,,,
Rae Bareli,8915.0,521.0,57.75,,,
Rampur,647.0,6881.0,18980.0,20.0,4.86,64.45
Saharanpur,775.0,4743.0,7156.0,8.0,1.02,13.12
Sambhal,482.0,6836.0,19.0,1.33,23.32,18.36
Sant Kabeer Nagar,2429.0,138.0,,,,
Shahjahanpur,900.0,4181.0,16415.0,42.0,3.56,49.94
Shamli,1201.0,71.0,,,,
Shravasti,398.0,22852.0,57.324,49.0,11.61,125.57
Siddharth Nagar,4709.0,175.0,,,,
Sitapur,4470.0,253.0,,,,
Sonbhadra,551.0,15842.0,86594.0,1788.0,14.96,122.75
Sultanpur,936.0,31552.0,2.0,10.5,134.51,112.09
Unnao,1021.0,58361.0,11.776,29.0,27.12,302.71
Varanasi,14296.0,1228.0,1090.0,,,
