District,total_deposit,total_advances,cd_ratio
Agra,10899.0,172.65,
Aligarh,5906.0,103.61,
Auraiya,6078.0,104.16,
Bahraich,8222.0,135.4,
Ballia,1877.0,14.02,
Balrampur,6047.0,92.65,48.98
Banda,18901.0,299.24,46.38
Bareilly,29763.0,665.87,
Basti,11483.0,170.99,
Bhadohi,352.0,6.86,
Bijnor,16623.0,401.83,
Bulandshahr,29449.0,762.15,
Deoria,19565.0,318.08,
Firozabad,8214.0,157.23,
Gautam Buddha Nagar,11776.0,295.7,
Ghaziabad,2874.0,79.78,
Ghazipur,23558.0,1346.27,
Gonda,39797.0,736.91,
Gorakhpur,15326.0,325.13,
Hardoi,25379.0,321.71,
Jalaun,8446.0,164.99,
Jaunpur,3778.0,81.18,
Kaushambi,777.0,13.54,
Kushi Nagar,10857.0,125.58,
Mirzapur,14301.08,6743.56,47.15
Moradabad,21696.43,72.31,
Muzaffarnagar,19479.15,86.0,
Pilibhit,7306.86,87.86,
Pratapgarh,17739.77,6843.92,
Prayagraj,77410.83,32245.43,41.65
Rae Bareli,18631.67,1033610.0,
Rampur,10439.35,79.49,
Saharanpur,25281.57,18138.36,71.75
Sambhal,29325.0,664.44,
Shravasti,3127.77,1756.5,
Sitapur,3913.0,79.81,
Unnao,19469.0,457.82,
