District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Ayodhya,252763.0,220.0,487655.0,715170.0,603403.0,1885.0
Bahraich,298382.0,180.0,674363.0,609017.0,645424.0,1149.0
Ballia,185949.0,817.0,423663.0,564728.0,627501.0,3639.0
Balrampur,141.0,256794.0,383541.0,292720.0,1592.0,677853.0
Banda,167986.0,59.0,331384.0,384280.0,317715.0,1025.0
Barabanki,382620.0,144.0,770925.0,,,
Bareilly,344098.0,307.0,618155.0,1100682.0,841640.0,1623.0
Basti,133965.0,621.0,,,,
Bijnor,212706.0,667.0,413482.0,752976.0,629917.0,1345.0
Budaun,411850.0,763658.0,592819.0,2717.0,1359194.0,1771044.0
Etah,170218.0,166294.0,91.0,336603.0,424935.0,381355.0
Etawah,93299.0,102700.0,347.0,196346.0,303003.0,258442.0
Farrukhabad,167617.0,180009.0,82.0,347708.0,434000.0,410934.0
Firozabad,169398.0,208903.0,257.0,378558.0,491068.0,505671.0
Gautam Buddha Nagar,308058.0,214493.0,725.0,523276.0,763436.0,455537.0
Ghaziabad,255529.0,228737.0,1102.0,485368.0,639768.0,527759.0
Ghazipur,189763.0,219514.0,1126.0,410403.0,751643.0,718455.0
Gonda,248798.0,233013.0,284.0,482095.0,639213.0,493278.0
Gorakhpur,285137.0,375680.0,1278.0,662095.0,798633.0,875926.0
Hamirpur,94095.0,91329.0,75.0,185499.0,231440.0,198460.0
Hapur,74837.0,69927.0,573.0,145337.0,216694.0,182326.0
Hardoi,324780.0,323918.0,238.0,648936.0,817212.0,739643.0
Hathras,106747.0,115469.0,173.0,222389.0,310755.0,284519.0
Jalaun,147882.0,150701.0,98.0,298681.0,362708.0,306897.0
Jaunpur,230678.0,299785.0,1463.0,531926.0,814743.0,924041.0
Jhansi,139574.0,117948.0,255.0,257777.0,490180.0,335620.0
Kannauj,140287.0,153351.0,70.0,293708.0,399101.0,372679.0
Kanpur Dehat,133762.0,115700.0,109.0,249571.0,423373.0,331593.0
Kanpur Nagar,322566.0,263153.0,681.0,586400.0,1060110.0,826779.0
Kasganj,108596.0,114617.0,98.0,223311.0,319033.0,293711.0
Kaushambi,113866.0,122335.0,80.0,236281.0,405011.0,387745.0
Kheri,329086.0,305310.0,184.0,634580.0,756198.0,656115.0
Kushi Nagar,161566.0,178628.0,928.0,341122.0,536399.0,531583.0
Lalitpur,82921.0,76283.0,121.0,159325.0,273516.0,198350.0
Lucknow,435199.0,364593.0,671.0,800463.0,1211107.0,948201.0
Maharajganj,142332.0,195480.0,745.0,338557.0,413897.0,479382.0
Mahoba,87963.0,87731.0,35.0,175729.0,176938.0,152047.0
Mainpuri,188141.0,214854.0,85.0,403080.0,457519.0,432396.0
Mathura,188310.0,164638.0,1245.0,354193.0,521476.0,416040.0
Mau,119296.0,132388.0,1041.0,252725.0,413647.0,417793.0
Meerut,220326.0,197708.0,1424.0,419458.0,679140.0,556360.0
Mirzapur,196061.0,235879.0,151.0,432091.0,461957.0,501035.0
Moradabad,293820.0,215793.0,307.0,509920.0,742047.0,508274.0
Muzaffarnagar,167009.0,148379.0,361.0,315749.0,508167.0,414934.0
Pilibhit,165198.0,120091.0,184.0,285473.0,510651.0,405413.0
Pratapgarh,257589.0,278561.0,183.0,536333.0,672683.0,654871.0
Prayagraj,408634.0,434069.0,376.0,843079.0,1382831.0,1256882.0
Rae Bareli,267171.0,230724.0,152.0,498047.0,727772.0,606536.0
Rampur,226033.0,157713.0,152.0,383898.0,615855.0,427196.0
Saharanpur,186351.0,181202.0,435.0,367988.0,658934.0,550993.0
Sambhal,146779.0,109322.0,132.0,256233.0,389400.0,272119.0
Sant Kabeer Nagar,99311.0,131209.0,662.0,231182.0,304450.0,346456.0
Shahjahanpur,217226.0,172529.0,124.0,389879.0,777127.0,613814.0
Shamli,66592.0,61171.0,132.0,127895.0,187306.0,150495.0
Shravasti,87135.0,95796.0,19.0,182950.0,,
Siddharth Nagar,147143.0,178255.0,572.0,325970.0,475823.0,494854.0
Sitapur,354198.0,329205.0,262.0,683665.0,782319.0,659560.0
Sonbhadra,159686.0,161902.0,153.0,321741.0,351734.0,313409.0
Sultanpur,203075.0,213828.0,90.0,416993.0,615953.0,567421.0
Unnao,256326.0,264807.0,155.0,521288.0,663092.0,604872.0
Varanasi,265350.0,259002.0,795.0,525147.0,844838.0,786241.0
