District,rural_no,urban_no,male_no,female_no,total_pmjdy_no,active_no,balance_amt_crore,zero_balance_no,rupay_issued_no,rupay_active_no,active_pct,rupay_active_pct
Bahraich,1187226.0,240403.0,667883.0,759746.0,1427629.0,1358532.0,822.0,111814.0,743828.0,1205577.0,88.74,54.75
Ballia,1621576.0,286940.0,863900.0,1044616.0,1908516.0,1789806.0,1077.26,147827.0,1251155.0,1641369.0,91.71,69.9
Balrampur,874838.0,10179.0,416714.0,468303.0,885017.0,801825.0,625.2,66573.0,504395.0,745803.0,93.01,62.91
Barabanki,1430007.0,53022.0,672021.0,811008.0,1483029.0,1421568.0,899.32,112565.0,1101793.0,1331114.0,93.64,77.51
Bareilly,1884999.0,678107.0,1246403.0,1316703.0,2563106.0,2445459.0,1381.89,155213.0,1961452.0,2370822.0,96.95,80.21
Basti,1202211.0,151494.0,634334.0,719371.0,1353705.0,1210959.0,772.22,117997.0,905086.0,1093903.0,90.33,74.74
Bhadohi,1007009.0,78167.0,488296.0,596880.0,1085176.0,1001075.0,602.28,98230.0,655877.0,974766.0,97.37,65.52
Bijnor,1714237.0,40717.0,728756.0,1026198.0,1754954.0,1640269.0,773.75,227648.0,1226788.0,1527665.0,93.14,74.79
Budaun,1711779.0,213540.0,907621.0,1017698.0,1925319.0,1888160.0,708.67,146180.0,1495047.0,1632894.0,86.48,79.18
Bulandshahr,1246302.0,291766.0,671278.0,866790.0,1538068.0,1431326.0,835.94,185297.0,1218019.0,1298082.0,90.69,85.1
Chandauli,950373.0,119832.0,500346.0,569859.0,1070205.0,967358.0,539.84,101814.0,623845.0,947805.0,97.98,64.49
Chitrakoot,460804.0,8300.0,237021.0,232083.0,469104.0,404180.0,255.58,31443.0,247836.0,397425.0,98.33,61.32
Deoria,1316084.0,351049.0,728020.0,939113.0,1667133.0,1546933.0,960.9,135331.0,1115706.0,1431260.0,92.52,72.12
Etah,687174.0,212724.0,427106.0,472792.0,899898.0,843564.0,412.17,93569.0,706231.0,749117.0,88.8,83.72
Farrukhabad,736563.0,230426.0,452280.0,514709.0,966989.0,847469.0,417.99,71862.0,736111.0,847028.0,99.95,86.86
Fatehpur,1223026.0,201262.0,711828.0,712460.0,1424288.0,1290218.0,1229.73,53463.0,1143185.0,1287526.0,99.79,88.6
Firozabad,798144.0,624170.0,670421.0,751893.0,1422314.0,1271220.0,479.95,144974.0,1120788.0,1202100.0,94.56,88.17
Gautam Buddha Nagar,363423.0,888611.0,771700.0,480334.0,1252034.0,1128959.0,726.13,168606.0,1005749.0,1068206.0,94.62,89.09
Ghaziabad,265368.0,962170.0,586330.0,641208.0,1227538.0,1150203.0,615.4,167991.0,941215.0,1022155.0,88.87,81.83
Ghazipur,1869739.0,143723.0,939370.0,1074092.0,2013462.0,1873929.0,1264.4,209872.0,1079403.0,1790670.0,95.56,57.6
Gonda,1448823.0,252206.0,799806.0,901223.0,1701029.0,1526503.0,1108.91,128008.0,975589.0,1455731.0,95.36,63.91
Gorakhpur,1782402.0,647024.0,1021950.0,1407476.0,2429426.0,2296779.0,1182.44,186793.0,1560454.0,2058760.0,89.64,67.94
Hamirpur,452451.0,12983.0,227740.0,237694.0,465434.0,412980.0,268.03,30420.0,317068.0,386763.0,93.65,76.78
Hapur,310575.0,110846.0,184369.0,237052.0,421421.0,351802.0,238.59,66964.0,293722.0,333967.0,94.93,83.49
Hardoi,1858711.0,229132.0,986627.0,1101216.0,2087843.0,1965495.0,1187.61,152904.0,1609770.0,1804346.0,91.8,81.9
Hathras,529737.0,200373.0,336381.0,393729.0,730110.0,668781.0,321.22,78532.0,572933.0,634764.0,94.91,85.67
Jalaun,503366.0,139150.0,306962.0,335554.0,642516.0,577622.0,345.1,41373.0,381508.0,516474.0,89.41,66.05
Jaunpur,2851647.0,264384.0,1364156.0,1751875.0,3116031.0,2850400.0,1886.04,331155.0,1560209.0,2763035.0,96.93,54.74
Kannauj,909018.0,15707.0,434556.0,490169.0,924725.0,864248.0,407.28,78269.0,695073.0,813783.0,94.16,80.43
Kanpur Dehat,827369.0,80697.0,468961.0,439105.0,908066.0,861119.0,547.39,56991.0,709789.0,825987.0,95.92,82.43
