District,shishu_no,shishu_amt,kishore_no,kishore_amt,tarun_no,tarun_amt,total_no,total_amt
Aligarh,24903.0,100.55,,,,,,
Amroha,14821.0,62.89,62.72,16102.0,198.51,197.42,1329.0,102.61
Ayodhya,21084.0,83.15,82.9,,,,,
Balrampur,8862.0,33.21,31.49,8706.0,134.86,132.64,1044.0,82.47
Banda,13000.0,50.44,50.08,11778.0,149.23,267.54,,
Barabanki,7158.0,28.07,27.79,12120.0,197.58,189.9,2020.0,152.59
Bareilly,32423.0,127.01,126.48,,,,,
Basti,19465.0,76.35,,,,,,
Bhadohi,14687.0,58.88,57.65,20010.0,261.94,256.5,1770.0,133.64
Bijnor,31190.0,132.55,132.11,41874.0,440.36,437.07,3085.0,232.51
Budaun,22678.0,93.26,92.88,20293.0,236.0,234.02,1296.0,102.5
Bulandshahr,26993.0,103.78,103.4,37540.0,392.43,387.07,,
Chandauli,21749.0,87.31,80.04,22766.0,280.27,263.4,2738.0,190.9
Chitrakoot,8378.0,31.82,31.71,8898.0,101.06,100.48,681.0,49.06
Deoria,24895.0,97.69,97.14,36746.0,444.18,439.54,5093.0,365.58
Etah,29.96,29.73,,,,,,
Etawah,3193.0,10.59,10.4,6690.0,121.55,,,
Farrukhabad,4432.0,16.55,16.14,7181.0,120.61,115.71,1269.0,95.06
Fatehpur,13133.0,51.37,51.2,14935.0,243.83,242.65,3244.0,
Ghazipur,30431.0,122.59,120.57,38933.0,500.39,490.59,3788.0,290.14
Gorakhpur,58112.0,223.92,223.31,87715.0,878.93,874.81,6986.0,530.55
Hamirpur,12827.0,49.1,48.8,12464.0,130.68,130.12,381.0,30.52
Hapur,11098.0,44.21,44.0,19650.0,221.03,218.87,1174.0,91.94
Hardoi,11749.0,46.19,45.02,14959.0,247.05,236.35,,
Hathras,9296.0,38.11,37.91,13683.0,151.54,149.76,986.0,80.59
Jalaun,8618.0,32.02,31.96,12153.0,161.21,159.93,761.0,58.49
Jaunpur,38502.0,158.32,147.92,48710.0,589.98,573.52,5904.0,422.3
Jhansi,21038.0,76.13,75.52,21971.0,277.5,272.86,1718.0,133.64
Kannauj,6793.0,25.75,25.32,13046.0,175.83,171.56,2425.0,167.35
Kanpur Dehat,5569.0,21.26,21.14,7948.0,130.49,128.91,1737.0,123.69
Kanpur Nagar,13272.0,50.44,50.0,28778.0,466.59,459.33,5757.0,473.46
Kaushambi,10909.0,39.36,39.28,12841.0,182.71,180.46,1728.0,123.96
Kheri,15069.0,58.35,20152.0,249.62,245.64,1811.0,140.52,137.26
Kushi Nagar,29407.0,114.63,114.23,42560.0,454.7,451.43,3709.0,261.87
Lucknow,23501.0,86.8,85.96,30193.0,536.42,521.32,6929.0,613.26
Mathura,18294.0,72.5,72.16,22933.0,262.06,259.22,1825.0,147.21
Meerut,20439.0,85.31,84.91,34917.0,449.29,444.72,4100.0,336.28
Mirzapur,28403.0,110.63,103.31,27092.0,321.67,307.63,2141.0,163.9
Muzaffarnagar,27369.0,113.24,112.86,31180.0,366.91,361.11,2382.0,194.51
Saharanpur,48643.0,202.03,201.25,67970.0,692.96,686.01,2673.0,217.32
Sambhal,16427.0,68.66,68.42,12615.0,149.57,147.71,1212.0,95.35
Shahjahanpur,13494.0,54.83,54.62,16541.0,228.17,226.57,2465.0,190.74
Shravasti,2899.0,11.52,11.48,3496.0,56.38,55.89,429.0,33.34
Siddharth Nagar,6680.0,24.44,24.33,12188.0,199.69,2483.0,181.34,180.1
Sitapur,22016.0,86.45,86.16,221.65,217.22,,,
Sonbhadra,32681.0,124.18,123.9,22112.0,,,,
Sultanpur,17560.0,70.43,70.15,21457.0,,,,
Unnao,6859.0,25.86,25.51,12172.0,179.73,174.14,1752.0,134.54
Varanasi,52958.0,211.44,208.07,69602.0,861.16,847.89,6803.0,536.75
