District,Col_1,Col_2,Col_3,Col_4
Arwal,2,,,
Aurangabad,24,6,35,
Begusarai,9,22,,
Bhagalpur,10,22,,
Bhojpur,25,9,22,
Buxar,14,2,21,
Darbhanga,13,17,,
Gaya,25,19,26,
Jamui,16,20,,
Jehanabad,9,2,7,
Kaimur (Bhabua),46,26,30,
Katihar,29,8,28,
Khagaria,13,1,22,
Lakhisarai,7,4,7,4
Madhepura,5,5,1,9
Madhubani,9,19,5,23
Munger,20,1,7,14
Muzaffarpur,144,15,31,128
Nalanda,55,21,1,75
Nawada,53,9,2,60
Pashchim Champaran,32,4,32,
Patna,230,7,279,
Purbi Champaran,61,13,54,
Purnia,12,10,82,
Rohtas,46,16,123,
Samastipur,18,7,7,18
Saran,70,26,45,
Sheikhpura,7,13,,
Sheohar,13,0,13,
Sitamarhi,20,1,19,
Siwan,45,5,42,
Supaul,6,,,
Vaishali,37,7,1,43
