District,Branch,Deposits,Advances,CD Ratio
Araria,161,453343,356127,78.56
Arwal,61,182170,69483,
Aurangabad,189,772683,479752,
Banka,117,190258,,46.68
Begusarai,227,937593,629241,67.1
Bhagalpur,277,1501770,,
Bhojpur,236,1168978,436440,
Buxar,155,635293,,37.3436
Gaya,302,1776445,712.241,43.92
Gopalganj,188,843161,363819,43.15
Jamui,120,439556,211226,48.05
Jehanabad,95,376637,146464,38.89
Kaimur (Bhabua),118,419665,228426,54.43
Katihar,187,690980,456606,66.08
Khagaria,117,373514,216894,
Kishanganj,109,333409,230682,69.19
Lakhisarai,80,330649,132604,40.10
Madhepura,119,380859,231790,60.86
Madhubani,278,924979,423001,45.73
Munger,133,762189,222066,29.14
Muzaffarpur,384,2024703,1289892,63.71
Nalanda,251,1132416,421337,37.21
Nawada,140,561852,257452,45.82
Pashchim Champaran,215,710094,464888,65.47
Patna,939,13801497,6331478,45.88
Purbi Champaran,293,1303053,1057369,42.06
Purnia,229,764338,646752,84.62
Rohtas,228,1037213,474029,45.70
Saharsa,107,474126,252990,53.36
Samastipur,289,1132035,605170,53.46
Saran,263,1375547,173851,37.20
Sheikhpura,61,204009,91783,
Sheohar,45,104238,74203,
Sitamarhi,166,644022,348473,54.11
Siwan,251,1277083,571720,44.77
Supaul,122,410926,241528,58.78
Vaishali,251,1155596,755327,65.36
