district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Dimapur,499.87,97,667.71,85,1281.41,370,36.42,3518.62,941
Kiphire,0.00,0,0.00,0,82.50,40,13.78,598.78,302
Kohima,194.52,36,379.52,35,597.31,194,40.78,1464.55,600
Longleng,0.00,0,0.00,0,5.81,7,1.64,353.24,196
Mokokchung,102.29,21,211.00,21,686.37,136,54.26,1265.05,303
Mon,25.51,11,73.82,11,47.44,18,6.80,697.96,349
Noklak,0.00,0,0.00,0,19.08,10,18.74,101.83,58
Peren,0.00,0,0.00,0,253.40,107,45.09,561.95,236
Phek,3.00,1,5.22,1,545.49,213,55.69,979.59,389
Tuensang,0.00,0,0.00,0,11.43,6,1.91,598.07,310
Wokha,1.35,2,3.25,2,6.31,6,2.05,308.35,119
Zunheboto,0.00,0,0.00,0,67.28,32,10.33,651.33,398
