district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Dimapur,224.19,85,1833.75,825,8013.69,1906,52109.26,20085
Kiphire,0.00,0,6.44,1,8.00,2,15.75,5
Kohima,84.00,16,493.47,249,8503.44,1483,30970.61,9834
Longleng,0.73,1,2.07,2,0.00,0,8.75,4
Mokokchung,27.30,4,80.46,26,1319.75,315,10927.39,4641
Mon,17.63,4,70.20,21,825.21,239,1310.45,546
Noklak,0.00,0,7.18,1,0.00,0,1.99,1
Peren,0.55,1,18.89,4,44.71,4,126.19,19
Phek,13.00,1,39.18,8,73.55,18,282.42,67
Tuensang,25.84,4,48.35,8,25.72,13,119.99,29
Wokha,34.13,9,157.31,45,958.96,189,4460.85,1177
Zunheboto,13.50,1,37.07,11,517.90,77,811.78,325
