district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Dimapur,66,62,36,65,17,87,12,16,34,164,62
Kiphire,3,1,0,10,0,10,1,2,0,4,3
Kohima,42,49,2,21,3,27,12,36,3,93,51
Longleng,0,3,0,11,0,11,2,0,0,3,2
Mokokchung,6,23,0,14,5,25,13,11,0,29,24
Mon,1,4,0,14,2,15,6,4,0,5,10
Noklak,1,0,0,1,0,1,1,0,0,1,1
Peren,5,1,0,12,0,12,3,1,0,6,4
Phek,8,1,0,16,0,16,5,4,0,9,9
Tuensang,1,7,0,10,0,10,6,2,0,8,8
Wokha,5,8,1,6,10,17,5,7,0,14,12
Zunheboto,3,7,0,4,0,5,6,4,0,10,10
