district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Dimapur,6925,3121.92,8039857,207158.44,262324015,15255882.81,508394,30545.33,30326297,8723492.54,635747,13732.24
Kiphire,0,0.00,409082,10384.88,0,0.00,11620,2130.92,17,0.32,14488,281.37
Kohima,2607,603.78,3194092,78907.98,49549913,3133787.60,225893,15544.10,9802855,3108905.58,329705,6828.45
Longleng,0,0.00,298561,7703.97,0,0.00,4,0.04,16,0.41,11209,201.73
Mokokchung,362,88.44,1636108,41332.24,17619511,967697.05,76171,7473.32,3951474,1020282.84,124279,2227.19
Mon,1,0.00,1166669,27226.05,13586,3139.19,23663,3790.15,4097,12226.69,44445,780.45
Noklak,0,0.00,127176,2838.13,0,0.00,0,0.00,1,0.00,3919,64.01
Peren,0,0.00,549225,11558.90,0,0.00,7786,272.41,3,0.00,25258,469.27
Phek,0,0.00,843505,22055.78,102,5.55,22424,1378.49,107,1040.64,47553,819.50
Tuensang,0,0.00,878673,23174.03,0,0.00,30461,1945.69,4,0.05,35393,646.41
Wokha,440,155.09,1155568,24891.91,64592,4802.61,34523,2596.18,5613,104855.67,56005,898.43
Zunheboto,13,1.23,732177,16965.13,1412,1236.62,9830,1800.72,610,24111.34,42127,826.47
