district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Dimapur,80.90,13,6057.42,1823,90.49,31,1219.46,365,247.49,49,7695.76,2281,0.00,0
Kiphire,0.00,0,0.00,0,0.00,0,6.62,8,0.06,2,6.68,10,0.00,0
Kohima,1.50,8,3659.82,1333,0.00,1,850.19,187,12.50,17,4524.01,1546,0.00,0
Longleng,0.00,0,0.00,0,0.00,0,24.57,14,0.00,0,24.57,14,0.00,0
Mokokchung,0.00,3,571.58,248,0.00,0,65.25,25,0.00,0,636.83,276,0.00,0
Mon,0.00,1,804.38,218,0.00,0,116.36,53,0.00,0,920.74,272,0.00,0
Noklak,0.00,0,0.00,0,0.00,0,0.00,1,0.00,0,0.00,1,0.00,0
Peren,0.00,2,0.00,0,0.00,0,0.00,10,0.00,0,0.00,12,0.00,0
Phek,0.00,1,22.15,10,0.00,0,30.58,22,0.35,1,53.08,34,0.00,0
Tuensang,0.00,1,3.60,8,0.00,0,38.47,24,0.00,0,42.07,33,0.00,0
Wokha,5.00,4,726.53,155,4.63,1,158.32,41,1.60,7,896.08,208,0.00,0
Zunheboto,6.00,4,712.87,127,0.00,0,25.85,9,0.00,1,744.72,141,0.00,0
