district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Dimapur,67510.07,69003.74,218830.18,89.93,57.26,49.69,75067.69,120499.64,440357.63,55.88,355343.99,635924.96
Kiphire,2705.70,12065.20,14.29,227.31,124.51,,1190.32,9690.44,0.00,135.88,14785.19,10880.76
Kohima,19566.04,149066.36,5188.00,52.71,26.96,89.15,37122.62,552941.06,5819.70,29.17,173820.40,595883.38
Longleng,9835.21,15.34,0.15,166.00,,,5924.77,0.00,0.00,166.26,9850.70,5924.77
Mokokchung,18296.10,52343.72,80.20,93.30,79.00,,19609.23,66255.00,0.00,82.36,70720.02,85864.23
Mon,10608.00,16802.70,5.45,99.20,77.47,,10693.96,21688.90,0.00,84.66,27416.15,32382.86
Noklak,2454.82,0.00,0.00,81.91,,,2997.13,0.00,0.00,81.91,2454.82,2997.13
Peren,16465.17,1603.87,49.38,148.80,73.87,,11064.96,2171.28,0.00,136.88,18118.42,13236.24
Phek,11070.60,15882.29,20.68,76.35,101.64,,14500.65,15626.38,0.00,89.53,26973.57,30127.03
Tuensang,6195.72,25517.03,37.76,151.59,131.76,,4087.24,19366.89,0.00,135.37,31750.51,23454.13
Wokha,6148.12,27375.36,4968.84,100.91,85.80,,6092.57,31907.03,0.00,101.30,38492.32,37999.60
Zunheboto,8196.12,23989.14,75.62,83.77,141.51,1260.33,9784.03,16952.32,6.00,120.64,32260.88,26742.35
