district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Dimapur,3813.07,78966,63408,89328,128136,12932,58753,19507,142374,122369
Kiphire,298.74,7965,7399,8532,13453,1560,10864,6059,15364,9310
Kohima,1043.78,17682,12547,17339,23685,4954,11091,13066,30229,13944
Longleng,226.97,8432,7038,8828,20156,308,10738,15471,15470,0
Mokokchung,1056.51,15739,14681,16308,26006,5757,11613,14340,30420,9530
Mon,970.70,25690,25210,25555,40698,6551,33430,20072,50900,30839
Noklak,108.18,2977,3014,1173,5738,21,4026,5991,5991,0
Peren,471.21,9250,7154,8399,17051,230,8728,16385,16404,22
Phek,864.33,12415,10438,14214,20291,2431,13310,11456,22853,11403
Tuensang,603.90,16194,15745,9628,29926,2229,22390,6849,31939,25093
Wokha,441.48,9228,5933,6917,13285,1136,6681,5622,15161,7559
Zunheboto,329.41,9553,9926,6220,13639,4775,6349,15079,19479,4401
