district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Dimapur,201583,51435,1846,85624,3346
Kiphire,19245,13846,5,13846,686
Kohima,105760,16074,521,23469,1196
Longleng,12227,12266,5,12266,135
Mokokchung,72703,19568,3639,16177,2297
Mon,56947,37527,194,38210,345
Noklak,4500,5305,2,5305,13
Peren,19760,10999,2,10999,1526
Phek,42031,17485,5,17721,1076
Tuensang,27320,28154,5,28168,546
Wokha,36120,10287,354,10874,569
Zunheboto,28771,10611,2,11108,720
