district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Dimapur,82.82,45,10.34,9,5.22,6,3.09,168.68,138
Kiphire,8.00,1,0.00,0,1.60,3,20.00,8.00,14
Kohima,59.86,46,8.80,5,5.69,8,3.79,150.19,162
Longleng,14.98,12,0.78,6,0.00,0,0.00,20.54,29
Mokokchung,91.26,52,0.03,2,15.08,23,6.71,224.63,180
Mon,23.43,18,0.00,0,6.73,10,9.96,67.57,86
Noklak,0.00,0,0.00,0,0.00,0,0.00,2.46,10
Peren,2.00,1,3.58,3,0.96,1,6.73,14.26,44
Phek,16.00,6,0.45,3,1.20,2,5.29,22.67,25
Tuensang,2.50,2,0.12,2,1.60,1,6.67,24.00,48
Wokha,45.31,33,0.00,0,6.54,7,5.01,130.49,131
Zunheboto,18.85,17,0.00,0,2.90,4,5.07,57.18,59
