District,Total ACP Disbursement Amt (NPS),Total ACP Disbursement No. (NPS),Other NPS Amt,A/C NPS Others,Personal Loans Amt (NPS),Personal Loans A/C (NPS),Housing Amt (NPS),Housing A/C (NPS),Amt. (NPS) cation Edu,A/C (NPS) cation Edu,Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,8637.03,1761,6993.09,1392,1434.77,353,209.17,16,0,0,0,0
East Jaintia Hills,11656.15,1554,9959.36,1211,1438.03,330,257.26,11,0,0,1.5,2
East Khasi Hills,379838.41,33014,332939.94,25390,31502.74,6016,11253.79,716,4129.8,881,12.14,11
North Garo Hills,4777.86,959,4229.59,772,487.69,176,60.58,11,0,0,0,0
Ri Bhoi,53402.06,6628,46206.92,5511,3332.89,849,3849.04,266,8.71,1,4.5,1
South Garo Hills,3584.73,675,2880.71,509,556.73,144,147.29,22,0,0,0,0
West Garo Hills,27503.09,5900,21670.76,4558,4666.68,1234,1105.9,104,59.75,4,0,0
West Khasi Hills,3832.78,846,2347.95,468,1431.45,364,48.1,12,4.13,1,1.15,1
