District,Self Help Groups No.,DRI Scheme Amt,DRI Scheme No.,Scheduled Tribes Amt,Scheduled Tribes No.,Scheduled Castes Amt,Scheduled Castes No.,Small & Marginal Farmers Amt,Small & Marginal Farmers No.
East Garo Hills,613,0,0,812.05,493,19.2,7,3442.15,5255
East Jaintia Hills,857,3.95,36,6547.27,3470,42.2,17,2059.27,2926
East Khasi Hills,2442,23.59,143,108411.59,40145,2443.47,1572,18990.89,30053
Eastern West Khasi Hills,890,1.55,8,9145.77,8031,0,0,4452.29,7999
North Garo Hills,628,0.96,5,1064.29,872,26.2,15,3869.22,6221
Ri Bhoi,1601,4.12,27,16332.53,14486,765.82,469,22870.42,34324
South Garo Hills,543,0,0,748.25,605,6.74,5,1820.65,3168
South West Garo Hills,480,0,0,1638.33,1661,49.76,27,4775,7771
South West Khasi Hills,630,0,0,3567.46,3060,3.56,7,2030,3058
West Garo Hills,1813,0,0,10942.39,6126,148.02,76,7376.87,14963
West Jaintia Hills,1533,3.83,24,16317.12,7009,41.08,12,4779.67,5449
West Khasi Hills,782,0.99,9,9197.85,5888,36.84,10,4824.5,7743
