District,Girl Student Outstanding Amt,Outstanding Amt,Girl Student Outstanding No.,Outstanding No.,Girl Student Disbursed Amt,Disbursed Amt,Girl Student Disbursed No.,Disbursed No.,Girl Student Sanctioned Amt,Sanctioned Amt,Girl Student Sanctioned No.,Sanctioned No.
East Garo Hills,41,112.58,17,40,2.72,6.98,4,8,0.66,1.27,1,2
East Jaintia Hills,78.82,174.91,34,63,7.26,18.14,6,12,5.48,18,4,9
East Khasi Hills,7302.59,21251.32,1422,2864,1427.07,3899.96,348,824,2414.81,5681.75,208,418
North Garo Hills,16.81,47.78,5,17,2.95,6.11,2,5,3.17,5.67,2,4
Ri Bhoi,588.19,915.04,227,330,63.35,117.93,52,95,77.94,133.83,37,61
South Garo Hills,17.08,33.6,8,12,4.63,6.48,4,5,1.18,1.18,1,1
West Garo Hills,537.44,1047.31,141,277,85.34,165.97,49,87,94.53,266.2,27,48
West Jaintia Hills,247.53,469.55,97,163,13.29,44.94,16,28,10.94,43.53,8,14
West Khasi Hills,239.5,329.78,103,143,44.9,43.44,26,32,40.27,27.04,9,11
