District,Kharif insured PMFBY under Amount,PMFBY Kharif Farmers Covered No.,Loan Current Amount Year Achievement Crop
East Garo Hills,0,0,6.85
East Jaintia Hills,0,0,120.35
East Khasi Hills,0.27,1,1902.07
North Garo Hills,0,0,13.32
Ri Bhoi,0.03,26,960.9
South Garo Hills,0.02,2,4.55
West Garo Hills,0,0,501.04
West Jaintia Hills,102.56,81,281.54
West Khasi Hills,0,0,364.64
