District,(PS) Amount Msme Target,Msme Target No. (PS),Crop Amount Achievement Pct Loan,Crop Amount Achieved Loan,Crop Loan Achieved No.,Crop Target Amount Loan,Crop Loan Target No.,Amount Achievement Pct Agri(PS),Agri Amount Achieved (PS),Agri Achieved No. (PS),Agri Target Amount (PS),Agri Target No. (PS)
East Garo Hills,2400,1925,8.24,436.64,516,5300,7350,13.04,890.85,1022,6830,9163
East Jaintia Hills,6100,606,16.56,173.9,239,1050,1050,30.23,647,497,2140,1590
East Khasi Hills,82998.78,11025,59.48,3694,4277,6210,6139,53.85,8067.31,7342,14980,9286
North Garo Hills,1800,1650,14.67,454.68,556,3100,4185,18.54,834.1,1108,4500,5749
Ri Bhoi,18360,2386,40.58,3632.24,4664,8950,12160,35.92,6053.03,6864,16850,14433
South Garo Hills,606,531,8.27,223.34,358,2700,3240,11.61,414.64,615,3570,3351
West Garo Hills,15000,7500,19.13,1402.45,957,7330,11892,23.67,3050.45,3645,12890,21240
West Jaintia Hills,10400,1030,27.87,1086.84,1086,3900,3900,29.18,1756.49,2088,6020,4802
West Khasi Hills,1406,632,19.94,515.18,786,2584,2238,21.12,856.43,1197,4056,2880
