District,Total Non-Priority NPA Amt,Sec Tot NPA Non No. Priorityrityrity,Other Amt (NPS),Other No. (NPS),Loan Amt Personal,Loan No Personal,Housing Amt (NPS),Housing No. (NPS),Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,375.94,266,253.93,171,122.01,95,0,0,0,0
East Jaintia Hills,593,203,307.15,161,47.44,41,238.41,1,0,0
East Khasi Hills,3576.74,1896,1982.7,1260,951.39,616,642.16,19,0.49,1
Eastern West Khasi Hills,36.53,39,33.29,35,3.24,4,0,0,0,0
North Garo Hills,366.48,259,174.36,142,192.02,116,0,0,0.1,1
Ri Bhoi,1415.14,689,1297.2,597,95.57,88,21.67,2,0.7,2
South Garo Hills,226.2,159,107.42,86,116.89,72,0,0,1.89,1
South West Garo Hills,235.25,183,176.18,137,59.07,45,0,0,0,1
South West Khasi Hills,63.44,26,27.23,14,36.21,12,0,0,0,0
West Garo Hills,2662.14,1633,1504.69,985,1154.02,644,3.43,4,0,0
West Jaintia Hills,461.17,304,271.75,212,155.22,90,34.2,2,0,0
West Khasi Hills,110.13,78,79.72,44,30.41,34,0,0,0,0
