District,Overall CD Ratio,CD Ratio Urban,CD Ratio Semi-Urban,CD Ratio Rural,Total Advance,Adv Urban,Adv Semi-Urban,Adv Rural,Total Deposit,Dep Urban,Dep Semi-Urban,Deposits Rural
East Garo Hills,70.58,83.58,69.18,67.83,35569.63,4862.65,23965.06,6741.92,50398.19,5817.89,34641,9939.3
East Jaintia Hills,20.3,,20.93,19.62,32915.94,770.45,5410.21,26735.28,162144.59,0,25853.92,136290.67
East Khasi Hills,44.39,46.17,40.79,34.28,1066461.99,898728.14,71780.33,95953.52,2402485.32,1946562.61,175984.81,279937.9
Eastern West Khasi Hills,38.48,20.68,40.11,42.1,17533.18,1246.93,7270.21,9016.04,45570.22,6029.29,18126.57,21414.36
North Garo Hills,63.19,,52.57,69.18,25716.52,4.75,7719.42,17992.35,40694.53,0,14684.71,26009.82
Ri Bhoi,104.35,88.25,39.73,132.45,241997.07,4520.75,26944.79,210531.53,231897.98,5122.6,67827.13,158948.25
South Garo Hills,60.59,79.48,64.77,47.68,17980.19,2691.57,10435.13,4853.49,29677.14,3386.35,16111.88,10178.91
South West Garo Hills,67.48,,69.65,67.18,25401.2,0,3138.99,22262.21,37645.15,0,4506.88,33138.27
South West Khasi Hills,38.3,,35.17,38.75,12930.6,0.01,1479.91,11450.68,33757.08,0,4207.6,29549.48
West Garo Hills,56.27,49.45,58.45,53.83,139402.69,10129.06,87867.17,41406.46,247725.51,20483.11,150320.92,76921.48
West Jaintia Hills,28.72,24.3,35.21,22.4,82145.91,20045.11,45368.68,16732.12,286034.39,82488.41,128860.79,74685.19
West Khasi Hills,38.78,37.3,44.08,28.21,26322.34,3287.95,17703.04,5331.35,67872.25,8815.18,40161.45,18895.62
