District,cd_ratio
Chittoor,70.27
East Godavari,128.27
Guntur,141.88
Krishna,151.34
Kurnool,120.35
Prakasam,161.0
Spsr Nellore,144.94
Srikakulam,98.7
Visakhapatanam,118.06
Vizianagaram,91.18
West Godavari,145.22
Y.s.r.,124.09
