District,total_deposit,total_advances,cd_ratio
Bahraich,8680.84,6376.6,73.46
Ballia,14723.3,4279.83,29.07
Balrampur,5626.86,2790.76,49.6
Banda,6794.25,3190.44,46.96
Barabanki,10534.91,7785.73,73.9
Bareilly,30703.54,19167.26,62.43
Basti,9902.3,4178.47,42.2
Bhadohi,7041.94,3088.66,
Bijnor,18374.17,10528.65,57.3
Bulandshahr,18227.33,9828.35,53.92
Chandauli,8503.95,3941.57,46.35
Chitrakoot,3474.52,1881.66,
Deoria,13668.56,38.24,
Etah,6111.24,4579.38,74.93
Etawah,9061.17,4016.74,
Farrukhabad,7557.94,3928.08,
Fatehpur,9304.19,4137.3,
Firozabad,10440.68,6838.97,65.5
Gautam Buddha Nagar,167410.8,89628.22,
Ghaziabad,86718.64,41182.31,47.49
Gonda,10822.71,5287.47,
Gorakhpur,39433.59,18550.45,47.04
Hapur,8931.84,5693.58,
Hathras,6731.11,4553.46,
Jalaun,7508.43,3562.67,47.45
Jhansi,19903.92,9587.05,48.17
Kanpur Nagar,98332.55,46704.46,
Kasganj,3519.9,2709.69,76.98
Kheri,11959.05,9182.36,76.78
Lalitpur,4633.41,79.65,
Lucknow,233690.83,105070.26,44.96
Maharajganj,6288.91,62.8,
Mathura,21681.99,59.43,
Mau,10649.49,35.6,
Mirzapur,10854.88,40.89,
Moradabad,22760.67,66.98,
Pilibhit,6485.33,85.12,
Sant Kabeer Nagar,5446.85,45.33,
Shamli,5820.24,62.23,
Siddharth Nagar,6489.42,38.3,
Sultanpur,10505.8,4180.15,
Unnao,13884.7,4285.09,
Varanasi,56487.48,30191.8,
