District,no_of_atm
Ballia,1096107.0
Balrampur,628824.0
Bareilly,1443613.0
Gorakhpur,1359117.0
Hardoi,1583489.0
Hathras,386053.0
Jalaun,417219.0
Jhansi,370534.0
Kushi Nagar,1468887.0
Lucknow,584821.0
Mahoba,264744.0
Mainpuri,630514.0
Mathura,555668.0
Mau,1085369.0
Moradabad,497233.0
Muzaffarnagar,556006.0
