District,sc_st_loans,sc_st_amount,women_loans,women_amount
Agra,37439.0,306004.85,,
Aligarh,11593.0,75470.65,,
Ambedkar Nagar,9107.0,34746.22,,
Amethi,4157.0,18944.78,,
Amroha,115.0,21.81,,
Auraiya,2306.0,11873.97,,
Ayodhya,284.0,3343.57,,
Azamgarh,1538.0,6633.5,,
Baghpat,115.0,21.49,,
Bahraich,3862.0,21780.12,,
Ballia,177.0,1204.82,,
Balrampur,4260.0,14332.84,,
Banda,131.0,916.38,,
Barabanki,182.0,1501.89,126.0,22.17
Bareilly,579.0,7056.28,308.0,41.17
Basti,385.0,2879.0,92.0,13.99
Bhadohi,10676.0,33595.82,,
Bijnor,291.0,56.28,196.0,25.17
Budaun,383.0,2377.28,128.0,8.68
Bulandshahr,572.0,5265.76,40.24,
Chandauli,324.0,1767.25,11.66,
Chitrakoot,2579.0,10554.39,,
Etah,57.0,900.21,12.09,
Etawah,2600.0,15160.31,,
Farrukhabad,5182.0,16860.37,,
Firozabad,335.0,3320.5,,
Gautam Buddha Nagar,808.0,26604.35,,
Ghaziabad,1361.0,26700.95,,
Ghazipur,385.0,2196.27,,
Gonda,519.0,2375.24,,
Hamirpur,2777.0,11705.06,,
Hardoi,9716.0,43319.69,,
Hathras,124.0,2233.8,,
Jalaun,125.0,1786.77,,
Jaunpur,705.0,3370.32,,
Kanpur Dehat,461.0,4790.48,,
Kanpur Nagar,1039.0,15925.02,,
Kaushambi,153.0,988.87,,
Kheri,6435.0,28602.18,,
Lalitpur,4296.0,13987.33,,
Lucknow,1789.0,25689.64,,
Mainpuri,3404.0,18037.94,,
Mathura,9004.0,58683.45,,
Mau,10468.0,34993.26,,
Meerut,19285.0,137827.87,,
Mirzapur,471.0,3740.34,,
Moradabad,465.0,5507.72,,
Muzaffarnagar,470.0,4815.48,,
Pilibhit,5724.0,20762.81,,
Pratapgarh,9574.0,46325.41,,
Prayagraj,1337.0,10783.99,,
Rae Bareli,14553.0,74562.47,,
Rampur,283.0,1700.24,,
Sambhal,94.0,893.41,,
Sant Kabeer Nagar,5286.0,20237.88,,
Shamli,87.0,69.0,8.38,
Shravasti,60.0,301.02,1.44,
Siddharth Nagar,78.0,50.0,5.44,
Sitapur,7421.0,33152.97,13.67,
Sonbhadra,145.0,93.0,15.05,
Sultanpur,10331.0,55952.05,,
Unnao,9176.0,40212.35,13.61,
