District,col_1,col_2,col_3,col_4,col_5,col_6
Agra,8.0,6.0,6.0,0.0,,
Aligarh,70.0,74.0,72.0,72.0,,
Amethi,1.0,1.0,0.0,3.0,13.0,0.0
Amroha,1.0,1.0,1.0,1.0,1.0,
Auraiya,2728.0,42.86,10.0,1.0,,
Ayodhya,1.0,2.0,1.0,1.0,,
Azamgarh,1.0,2.0,2.0,1000010.0,,
Baghpat,4747.66,871.47,,,,
Bahraich,245212.0,4850.77,44942.0,624.34,18.33,12.87
Ballia,8047.0,110.32,8.0,8.0,,
Balrampur,121577.0,2038.18,11356.0,202.01,9.34,9.91
Banda,8180.0,107.37,20.0,,,
Barabanki,366717.0,383.29,6.61,,,
Bareilly,747029.0,11491.87,259517.0,1946.4,34.74,16.94
Basti,3110.62,882.83,28.38,,,
Bhadohi,9782.0,198.63,40.02,,,
Bijnor,39.0,42.0,42.0,39.0,,
Budaun,25.0,19.0,19.0,19.0,,
Bulandshahr,2.0,2.0,47.0,,,
Chandauli,14.0,16.0,,,,
Chitrakoot,1076.51,255.58,,,,
Deoria,1.0,1.0,24.17,,,
Etah,1.0,0.0,13.0,13.0,,
Etawah,14096.0,93.46,18.0,18.0,,
Farrukhabad,11448.0,161.04,26.0,26.0,,
Fatehpur,10057.0,160.73,18.0,,,
Firozabad,2.0,4.0,54.0,53.0,,
Gautam Buddha Nagar,10.0,10.0,10.0,10.0,,
Ghaziabad,212883.0,17662.49,182.0,180.0,,
Ghazipur,1.0,0.0,37.33,,,
Gonda,12148.0,161.3,19.88,,,
Gorakhpur,1.0,2.0,54.75,,,
Hamirpur,2782.71,437.29,15.71,,,
Hapur,62686.0,448.22,29.0,,,
Hardoi,21733.0,334.32,21.0,,,
Hathras,1.0,1.0,34.85,,,
Jalaun,8297.0,111.56,30.0,30.0,,
Jaunpur,20410.0,238.61,14.0,,,
Jhansi,50.0,60.0,59.0,58.0,,
Kannauj,16.0,16.0,16.0,,,
Kanpur Dehat,7297.0,119.08,26.58,,,
Kanpur Nagar,3659.92,8681.15,237.2,,,
Kasganj,7791.0,124.08,23.18,,,
Kaushambi,9398.0,121.23,42.93,,,
Kheri,363750.0,7484.12,59737.0,1192.3,16.42,15.93
Kushi Nagar,22500.0,208.45,16.0,,,
Lalitpur,2708.0,89.29,29.0,29.0,,
Lucknow,126.0,193.0,159.0,159.0,,
Maharajganj,14771.0,209.03,10.0,4.0,10.0,0.0
Mahoba,8.0,9.0,9.0,0.0,9.0,0.0
Mainpuri,2565.0,49.4,1.0,,,
Mathura,3.0,1.0,0.0,,,
Mau,9482.0,154.38,,,,
Meerut,2.0,5.0,3.0,2.0,3.0,
Mirzapur,10254.0,150.66,0.0,,,
Moradabad,4.0,2.0,2.0,2.0,0.0,
Muzaffarnagar,96858.0,1255.35,,,,
Pilibhit,1.0,1.0,,,,
Pratapgarh,1.0,1.0,,,,
Prayagraj,1.0,116.0,2.0,,,
Rae Bareli,0.0,22.0,0.0,,,
Rampur,227108.0,4497.68,56800.0,1033.04,25.01,22.97
Saharanpur,157653.0,1625.67,2.0,,,
Sambhal,23847.0,375.85,31.44,,,
Sant Kabeer Nagar,32759.0,166.03,,,,
Shahjahanpur,35227.0,762.81,40.3,,,
Shamli,1.0,1.0,1.0,,,
Shravasti,80392.0,10452.0,125.96,13.0,11.97,
Siddharth Nagar,121945.0,1543.66,11166.0,191.45,9.16,12.4
Sitapur,36254.0,479.77,1.0,1.0,,
Sonbhadra,9358.0,136.88,,,,
Sultanpur,14980.0,245.22,42.57,,,
Unnao,15067.0,159.12,29.76,,,
Varanasi,182817.0,910.88,106.76,,,
