District,shishu_no,shishu_amt,kishore_no,kishore_amt,tarun_no,tarun_amt,total_no,total_amt
Ayodhya,13427.0,36.74,36.41,4391.0,55.91,51.82,474.0,39.71
Balrampur,2663.0,9.57,9.42,689.0,13.51,12.06,161.0,54.0
Barabanki,3699.0,13.13,12.9,1921.0,44.36,31.28,388.0,3247.0
Bhadohi,12851.0,29.66,28.93,4354.0,45.37,42.58,228.0,18.31
Bijnor,21732.0,86.53,84.94,,,,,
Budaun,6942.0,26.02,1708.0,23.98,22.03,297.0,24.59,22.94
Bulandshahr,15741.0,63.84,63.32,7235.0,71.88,70.11,594.0,46.43
Deoria,33162.0,99.86,99.41,9954.0,98.38,86.59,744.0,61.12
Fatehpur,5863.0,11.83,11.58,1586.0,21.82,21.15,207.0,15.69
Firozabad,10339.0,39.53,39.06,4529.0,49.74,46.59,277.0,22.44
Gautam Buddha Nagar,2023.0,7.8,7.51,2005.0,43.23,38.73,719.0,523.47
Ghaziabad,9717.0,36.38,35.86,5599.0,72.85,66.99,941.0,76.21
Gonda,7235.0,20.84,20.49,2204.0,35.68,32.93,529.0,35.26
Gorakhpur,63179.0,219.24,217.81,20960.0,201.79,197.22,1130.0,95.47
Hamirpur,7980.0,4.6,4.6,1402.0,11.84,11.28,116.0,10.08
Hapur,8925.0,33.3,32.93,3619.0,35.61,34.63,175.0,13.76
Hardoi,4385.0,15.94,15.62,1832.0,41.75,30.79,395.0,31.68
Hathras,6144.0,24.44,24.19,2902.0,29.19,27.43,172.0,14.25
Jaunpur,31960.0,79.79,72.52,8149.0,79.15,76.63,447.0,36.33
Jhansi,13304.0,35.98,35.57,2806.0,34.49,29.44,316.0,25.46
Kannauj,3138.0,12.26,11.76,1532.0,27.9,20.55,220.0,17.72
Kanpur Dehat,2918.0,10.83,10.65,1133.0,20.36,18.36,164.0,13.65
Kanpur Nagar,8459.0,29.08,28.65,4490.0,86.54,77.73,1113.0,93.66
Kaushambi,6797.0,17.77,17.54,2420.0,26.93,26.38,131.0,10.06
Kheri,7661.0,27.01,26.65,1810.0,32.25,28.38,360.0,23.91
Kushi Nagar,46918.0,157.07,156.2,13432.0,116.48,110.64,436.0,34.31
Lalitpur,4642.0,0.82,959.0,12.03,8.91,135.0,9.99,8.07
Lucknow,16708.0,59.98,59.13,6472.0,127.52,107.05,1779.0,146.4
Mathura,16573.0,60.2,59.6,,,,,
Mau,10157.0,31.26,,,,,,
Meerut,17666.0,65.92,7996.0,94.5,90.66,853.0,69.03,66.12
Mirzapur,20532.0,55.06,47.0,6131.0,58.39,56.82,423.0,32.48
Moradabad,12050.0,48.43,47.89,3467.0,50.18,45.43,606.0,48.16
Pilibhit,1856.0,7.89,7.71,937.0,20.69,19.4,225.0,17.14
Pratapgarh,7817.0,20.56,20.37,,,,,
Rae Bareli,9923.0,33.74,33.13,2386.0,47.79,45.56,450.0,36.5
Rampur,1892.0,25.98,24.26,235.0,1879.0,18.11,8565.0,69.1
Saharanpur,32289.0,116.83,115.06,11999.0,109.48,105.63,502.0,39.79
Sambhal,3906.0,15.63,15.34,1198.0,14.86,13.17,159.0,12.64
Sant Kabeer Nagar,8056.0,29.88,29.62,3204.0,43.2,40.67,261.0,21.88
Shamli,11548.0,40.44,40.12,2328.0,24.08,23.67,202.0,15.81
Shravasti,1847.0,5.18,5.16,582.0,13.13,12.91,128.0,9.35
Siddharth Nagar,5721.0,16.73,16.53,2265.0,37.43,34.9,294.0,24.8
Sitapur,10307.0,36.03,35.66,2161.0,37.79,34.94,372.0,27.77
Sonbhadra,18114.0,48.33,47.53,5407.0,43.84,42.77,268.0,20.56
Sultanpur,11642.0,33.09,32.84,4440.0,50.51,48.55,345.0,29.03
Unnao,5234.0,19.77,19.29,1632.0,31.36,23.14,269.0,21.66
Varanasi,42656.0,106.73,,,,,,
