District,subscribers_fy15,subscribers_fy16,subscribers_fy17,subscribers_fy18,subscribers_fy19
Ambedkar Nagar,166.0,16150.0,12125.0,75.0,154574.0
Bahraich,193.0,18870.0,7305.0,39.0,
Ballia,217.0,21170.0,37.0,109708.0,
Balrampur,137.0,13490.0,3693.0,27.0,75836.0
Banda,139.0,13680.0,3888.0,28.0,97801.0
Basti,165.0,16160.0,5011.0,31.0,91068.0
Bhadohi,106.0,9770.0,4208.0,43.0,60030.0
Bijnor,273.0,25940.0,4685.0,18.0,
Chitrakoot,73.0,7.18,52105.0,,
Deoria,216.0,20840.0,98418.0,,
Etah,120.0,81199.0,,,
Etawah,120.0,51211.0,,,
Firozabad,145.0,13970.0,86678.0,,
Ghaziabad,461.0,41100.0,140724.0,,
Ghazipur,269.0,141792.0,,,
Gonda,222.0,21660.0,5693.0,127128.0,
Gorakhpur,387.0,36730.0,12879.0,190711.0,
Hapur,109.0,31142.0,,,
Hardoi,239.0,23480.0,153675.0,,
Hathras,130.0,57495.0,,,
Jalaun,132.0,12930.0,76569.0,,
Jaunpur,318.0,31310.0,,,
Jhansi,219.0,72976.0,,,
Kannauj,127.0,73702.0,,,
Kanpur Dehat,153.0,15010.0,97843.0,,
Kheri,261.0,25.26,184451.0,,
Kushi Nagar,189.0,18370.0,102583.0,,
Maharajganj,148.0,14450.0,,,
Mirzapur,183.0,17860.0,,,
Moradabad,327.0,31240.0,18.0,,
Muzaffarnagar,264.0,25490.0,,,
Pratapgarh,259.0,23270.0,,,
Prayagraj,500.0,41.0,267049.0,,
Rae Bareli,322.0,28930.0,31.0,190827.0,
Rampur,226.0,26.0,95035.0,,
Saharanpur,273.0,25840.0,26.0,136226.0,
Sambhal,120.0,65.0,79789.0,,
Shahjahanpur,221.0,21370.0,54.0,,
Shamli,21.0,37687.0,,,
Shravasti,1591.0,24.0,,,
Siddharth Nagar,147.0,14430.0,6020.0,42.0,88710.0
Sonbhadra,145.0,13810.0,39.0,71560.0,
