district,Bank Name,Agriculture No,Amt,MSME No,Amt,Exp Credit No,Amt,Education No,Amt,Housing (NPS) No,Amt,Personal Loans No,Amt,Others NPS No,Amt,Total ACP (NPS) No,Amt
Bishnupur,,0,9796.05,0,9796.05,0,9796.05,1,9796.05,45,9796.05,386,9796.05,4531,9796.05,4963,9796.05
Chandel,,0,666.44,0,666.44,0,666.44,0,666.44,6,666.44,13,666.44,146,666.44,165,666.44
Churachandpur,,0,7159.97,0,7159.97,0,7159.97,0,7159.97,85,7159.97,264,7159.97,2427,7159.97,2776,7159.97
Imphal East,,0,7530.88,0,7530.88,0,7530.88,0,7530.88,30,7530.88,352,7530.88,2097,7530.88,2479,7530.88
Imphal West,,0,29479.18,6,29479.18,0,29479.18,1,29479.18,184,29479.18,970,29479.18,5561,29479.18,6722,29479.18
Jiribam,,0,338.23,0,338.23,0,338.23,0,338.23,0,338.23,17,338.23,226,338.23,243,338.23
Kakching,,0,1224.65,0,1224.65,0,1224.65,0,1224.65,27,1224.65,56,1224.65,252,1224.65,335,1224.65
Kamjong,,0,2.99,0,2.99,0,2.99,0,2.99,0,2.99,2,2.99,3,2.99,5,2.99
Kangpokpi,,0,451.13,0,451.13,0,451.13,0,451.13,2,451.13,31,451.13,90,451.13,123,451.13
Noney,,0,18.28,0,18.28,0,18.28,0,18.28,0,18.28,2,18.28,3,18.28,5,18.28
PHERZAWAL,,0,32.48,0,32.48,0,32.48,0,32.48,0,32.48,1,32.48,4,32.48,5,32.48
Senapati,,0,2317.01,0,2317.01,0,2317.01,0,2317.01,35,2317.01,100,2317.01,561,2317.01,696,2317.01
Tamenglong,,0,519.98,0,519.98,0,519.98,0,519.98,1,519.98,65,519.98,97,519.98,163,519.98
Tengnoupal,,0,502.3,0,502.3,0,502.3,0,502.3,9,502.3,24,502.3,105,502.3,138,502.3
Thoubal,,0,4718.59,0,4718.59,0,4718.59,0,4718.59,31,4718.59,207,4718.59,1838,4718.59,2076,4718.59
Ukhrul,,0,450.65,0,450.65,0,450.65,0,450.65,0,450.65,35,450.65,87,450.65,122,450.65
