district,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Bishnupur,94,290.06,776,1448.46,126,560.85,671,2653.74
Chandel,7,47.7,25,144.89,18,59.4,374,734.65
Churachandpur,29,102.79,155,403.76,401,1592.3,5128,11479.2
Imphal East,21,74.75,193,572.43,110,480.11,927,4433.42
Imphal West,111,389.49,1479,2522.62,285,1641.42,11325,18564.76
Jiribam,66,42.8,692,250.77,40,38.9,569,311.79
Kakching,430,1179.56,5702,6961.04,49,76.45,487,739.04
Kamjong,0,0,5,43.04,2,22.65,7,69.33
Kangpokpi,17,198.49,105,548.95,95,285.77,1318,2200.59
Noney,1,8,7,23.46,10,25.99,690,567.78
Pherzawl,0,0,1,5.66,1,6.75,5,43.22
Senapati,3,39.7,34,152.05,169,383.36,1967,3057.8
Tamenglong,0,0,14,42.13,66,332.98,1892,3099.12
Tengnoupal,11,18.99,48,179.56,101,213.34,891,1277.61
Thoubal,30,56.25,454,844.35,16,70.29,266,745.36
Ukhrul,1,10,10,28.97,140,473.21,2726,4329.28
