District,Agri (PS) Target,Agri (PS) Achieved,Agri(PS) Achv% Amt,Crop Loan Target,Crop Loan Achieved,Crop Loan Achv% Amt,MSME (PS) Target,MSME (PS) Achieved,MSME (PS) Achv% Amt,Other PS Target,Other PS Achieved,Other PS Achv% Amt,Total (PS) Target,Total (PS) Achieved,Total(PS ) Achv% Amt
Bishnupur,10665,1230,11.59,8189,981,21.94,1864,252,43.33,352,25,10.72,12881,1507,17.83
Chandel,928,28,0.57,335,17,3.26,131,191,5.07,93,6,5.8,1152,225,2.32
Churachandpur,2592,489,35.58,2515,413,24.35,3184,299,19.62,606,156,6.05,6382,944,15.49
Imphal East,17436,754,14.79,16365,377,7.19,1602,1060,68.14,1025,439,16.69,20063,2253,35.82
Imphal West,9136,1256,36.72,7664,429,9.54,5384,2037,74.24,2559,747,11.62,17079,4040,43.85
Jiribam,808,35,3.89,389,0,0,991,65,1.48,42,0,0,1841,100,1.93
Kakching,3237,280,5.03,2775,150,5.87,208,368,63.59,254,21,5.33,3699,669,15.48
Kamjong,391,0,0,142,0,0,82,10,3.81,12,0,0,485,10,1.31
Kangpokpi,5227,173,5.58,4862,141,3.35,287,147,16.71,508,4,1.02,6022,324,7.2
Noney,1459,7,0.61,1259,5,0.41,599,23,8.88,47,0,0,2105,30,3.05
Pherzawl,50,3,5.43,45,3,7.68,8,6,53.54,4,0,0,62,9,16
Senapati,3540,410,5.55,3089,377,4.75,823,375,29.45,250,32,10.05,4613,817,12.02
Tamenglong,3094,177,31.88,1409,4,0.38,1251,46,16.94,65,6,16.29,4410,229,27.62
Tengnoupal,9121,252,6.94,8584,211,6.3,272,229,15.27,123,76,11.85,9516,557,9.75
Thoubal,5643,1262,32.37,4025,948,36.21,2523,480,15.81,338,157,7.57,8504,1899,20.32
Ukhrul,1399,67,10.93,821,53,9.44,367,57,9.79,75,1,0.07,1841,125,9.59
