district,Bank Name,Micro TL No,Amt.,Micro WC No,Amt.,Small TL No,Amt.,Small WC No,Amt.,Medium TL No,Amt.,Medium WC No,Amt.,KVIC TL No,Amt.,KVIC WC No,Amt.,Others under MSMEs No,Amt.,Tot MSME (PS) Disb No,Amt.
Bishnupur,,137,1406.18,57,1406.18,13,1406.18,13,1406.18,0,1406.18,1,1406.18,0,1406.18,0,1406.18,31,1406.18,252,1406.18
Chandel,,91,66.48,26,66.48,6,66.48,0,66.48,0,66.48,0,66.48,0,66.48,0,66.48,68,66.48,191,66.48
Churachandpur,,165,1061.16,92,1061.16,17,1061.16,5,1061.16,0,1061.16,0,1061.16,3,1061.16,0,1061.16,17,1061.16,299,1061.16
Imphal East,,703,5259.65,189,5259.65,92,5259.65,9,5259.65,5,5259.65,2,5259.65,4,5259.65,0,5259.65,56,5259.65,1060,5259.65
Imphal West,,1046,14485.97,330,14485.97,259,14485.97,107,14485.97,19,14485.97,6,14485.97,12,14485.97,2,14485.97,256,14485.97,2037,14485.97
Jiribam,,65,39.15,0,39.15,0,39.15,0,39.15,0,39.15,0,39.15,0,39.15,0,39.15,0,39.15,65,39.15
Kakching,,269,1248.81,19,1248.81,38,1248.81,6,1248.81,0,1248.81,0,1248.81,0,1248.81,0,1248.81,36,1248.81,368,1248.81
Kamjong,,8,8.5,2,8.5,0,8.5,0,8.5,0,8.5,0,8.5,0,8.5,0,8.5,0,8.5,10,8.5
Kangpokpi,,115,222.9,24,222.9,1,222.9,0,222.9,0,222.9,0,222.9,1,222.9,0,222.9,6,222.9,147,222.9
Noney,,17,73.3,6,73.3,0,73.3,0,73.3,0,73.3,0,73.3,0,73.3,0,73.3,0,73.3,23,73.3
PHERZAWAL,,4,12.85,1,12.85,0,12.85,0,12.85,0,12.85,0,12.85,0,12.85,0,12.85,1,12.85,6,12.85
Senapati,,261,525.53,69,525.53,29,525.53,5,525.53,0,525.53,0,525.53,0,525.53,0,525.53,11,525.53,375,525.53
Tamenglong,,29,124.35,11,124.35,6,124.35,0,124.35,0,124.35,0,124.35,0,124.35,0,124.35,0,124.35,46,124.35
Tengnoupal,,137,220.47,45,220.47,4,220.47,0,220.47,0,220.47,0,220.47,0,220.47,0,220.47,43,220.47,229,220.47
Thoubal,,323,758.86,119,758.86,10,758.86,2,758.86,2,758.86,0,758.86,0,758.86,0,758.86,24,758.86,480,758.86
Ukhrul,,42,93.28,5,93.28,7,93.28,0,93.28,0,93.28,0,93.28,0,93.28,0,93.28,3,93.28,57,93.28
