District,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,Noof Zero Balance A/C,Amt Depositsheldinthe A/C,Noof Rupay Card Issued,Noof Rupay Card Activated,Noof Aadhaar Seeded
Bishnupur,34685,100766,55165,84803,139968,17484,12927.49,131890,50036,95613
Chandel,13692,0,6248,7441,13689,1118,5376.41,13420,7930,8262
Churachandpur,86427,4041,41570,48855,90425,8643,11105.85,82024,48947,52781
Imphal East,68850,86484,63617,92384,156001,16931,7623.76,158229,59591,112036
Imphal West,33443,177324,92158,132802,224960,28681,17440.58,268247,105263,179878
Jiribam,18132,0,7612,10487,18099,2864,398.02,41170,0,15467
Kakching,406,64640,29636,40546,70182,8507,5403.2,68462,26327,49015
Kamjong,2187,0,1086,1099,2185,57,81.34,2570,1662,584
Kangpokpi,19187,966,13525,12487,26012,1934,3293,15408,12651,8999
Noney,9085,0,4806,4278,9084,278,487.46,9258,6447,4865
Pherzawl,171,0,88,83,171,6,11.33,230,128,141
Senapati,45703,0,21108,24668,45776,1519,6255.15,61481,24391,19611
Tamenglong,2160,23101,13437,11780,25217,7349,875.39,54251,459,14266
Tengnoupal,8521,6177,7761,9258,17019,1692,2448.56,23177,7437,12077
Thoubal,66309,81848,66267,81251,147518,18764,2252.64,130361,69654,90020
Ukhrul,2676,62251,33385,33430,66815,14753,4836.75,67599,17567,28598
