district,Bank Name,KCC issued during quarter (Including renewal),Total O/S KCC,Number of rupay card Issued,KCC Card activated,KCC for animal husbandary issued during quarter (Including renewal),AH Total no. of KCC,AH Outstandin g amount.,AH Number of rupay card Issued,AH Card activated,KCC for Fishries issued during quarter (including renewal),Fishery Total no. of KCC,Fishery Outstandi ng amount.,Fishery Number of rupay card Issued,Fishery Card activated
Bishnupur,,2056,5130,4782,4776,10,238,232.32,178,178,41,191,194.87,131,116
Chandel,,11,152,70,70,6,24,28.59,0,0,0,0,0,0,0
Churachandpur,,232,1743,1437,1079,9,147,332.57,19,18,1,16,53.75,2,2
Imphal East,,796,3056,2585,2507,13,401,212.05,383,383,9,11,22.76,8,8
Imphal West,,491,12955,6606,5514,147,484,388.01,322,322,19,57,78,39,39
Jiribam,,0,68,0,0,0,0,0,0,0,0,0,0,0,0
Kakching,,205,974,863,816,17,210,138.96,166,166,60,95,162.14,18,18
Kamjong,,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,,34,740,448,349,4,13,21.32,13,13,10,13,22.54,13,13
Noney,,5,166,155,155,0,0,0,0,0,0,0,0,0,0
PHERZAWAL,,3,7,1,1,0,0,0,0,0,0,0,0,0,0
Senapati,,261,1722,687,558,11,52,26.58,0,0,0,1,0.16,0,0
Tamenglong,,2,23,2,2,0,0,0,0,0,0,0,0,0,0
Tengnoupal,,77,208,139,135,6,18,17.8,4,4,0,0,0,0,0
Thoubal,,1014,2814,2441,2418,6,37,17.89,10,10,0,0,0,0,0
Ukhrul,,72,550,252,251,2,6,7.72,0,0,0,1,1.46,0,0
