District,BHIM/UPI A/C,BHIM/UPI Amt,BHIM Aadhaar A/C,BHIM Aadhaar Amt,Bharat QR Code A/C,Bharat QR Code Amt,IMPS A/C,IMPS Amt,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt,USSD A/C,USSD Amt
Bishnupur,8230303,384649.45,766924,17783.67,0,0,772241,171923.15,83277,4432.83,103683,1467.94
Chandel,46893,786.53,338732,7300.09,59,43.75,2272,177.56,11374,398.12,43420,630.86
Churachandpur,76551191,3394529.58,1175470,27281.71,743,1047.72,10057228,2783074.58,161384,6681.68,183490,2637.03
Imphal East,178651916,7454035.4,1927873,47622.83,2525,3599.9,13132029,3393551.92,345161,12991.47,335694,4870.94
Imphal West,296281425,13922651.55,3849433,96573.91,5092,7096.03,37419092,10941307.09,803664,39061.51,724114,10912.94
Jiribam,207566,6297.43,69,3,0,0,30145,5392.24,54184,1937.46,0,0
Kakching,173310,3392.75,520252,12498.94,0,0,11590,1133.45,48534,1987.62,69801,925.82
Kamjong,0,0,44949,1220.57,0,0,0,0,0,0,4147,70.71
Kangpokpi,44260,979.12,307790,7847.26,37,4.54,3481,1274.69,5025,403.18,50582,789.81
Noney,0,0,84177,2653.43,0,0,0,0,1,0,7836,127.02
Pherzawl,0,0,5366,136.01,0,0,0,0,0,0,402,8.06
Senapati,51690340,2732095.08,1054306,24812.86,5,0.09,5207790,1375726.45,28431,1228.38,140640,2015.32
Tamenglong,205630,5655.18,17822,449.41,0,0,19447,119440.2,85060,2935.41,751,11.94
Tengnoupal,47501,1735.19,259841,6921.07,11,2.16,5903,1424.55,26527,2014.87,34550,542.62
Thoubal,141697098,6597193.74,883992,23267.31,852,1517.14,11040896,3402184.82,163807,5534.87,108109,1537.55
Ukhrul,173978,5163.24,406865,9422.62,0,0,15788,1696.83,61291,2764.72,55696,916.39
