district,Sishu O/S No,Amt,Sishu NPA No,Amt,Kishore O/S No,Amt,Kishore NPA No,Amt,Tarun O/S No,Amt,Tarun NPA No,Amt,Total MUDRA O/S No,Amt,Total MUDRA NPA No,Amt,MUDRA NPA
AXIS,959,4.26,0,4.26,0,4.26,17,4.26,0,4.26,0,4.26,959,4.26,17,4.26,2.06
BANDHAN,5067,211.27,945,211.27,2339,211.27,192,211.27,0,211.27,0,211.27,7406,211.27,1137,211.27,9.82
BOB,536,210.32,90,210.32,878,210.32,87,210.32,203,210.32,15,210.32,1617,210.32,192,210.32,8.34
BOI,143,116.17,22,116.17,429,116.17,38,116.17,119,116.17,10,116.17,691,116.17,70,116.17,8.8
BOM,58,11.2,10,11.2,12,11.2,0,11.2,18,11.2,1,11.2,88,11.2,11,11.2,5.17
CAN,412,567.38,113,567.38,623,567.38,135,567.38,215,567.38,36,567.38,1250,567.38,284,567.38,20.85
CBI,581,424,232,424,611,424,133,424,150,424,26,424,1342,424,391,424,18.56
HDFC,9150,470.33,2529,470.33,1074,470.33,325,470.33,17,470.33,1,470.33,10241,470.33,2855,470.33,23.02
ICICI,146,2.65,2,2.65,28,2.65,2,2.65,39,2.65,8,2.65,213,2.65,12,2.65,1.21
IDBI,35,32.92,0,32.92,204,32.92,19,32.92,50,32.92,4,32.92,289,32.92,23,32.92,6.42
IND,477,339.49,151,339.49,493,339.49,97,339.49,121,339.49,23,339.49,1091,339.49,271,339.49,18.49
INDUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IOB,41,0,0,0,149,0,0,0,64,0,0,0,254,0,0,0,0
MRB,8187,3801.39,3809,3801.39,5174,3801.39,1562,3801.39,204,3801.39,74,3801.39,13565,3801.39,5445,3801.39,38.51
MSCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NESFB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNB,2201,1134.78,667,1134.78,2652,1134.78,640,1134.78,295,1134.78,40,1134.78,5148,1134.78,1347,1134.78,22.02
PSB,81,5.82,11,5.82,99,5.82,16,5.82,11,5.82,1,5.82,191,5.82,28,5.82,2.47
SBI,7166,3313.72,1875,3313.72,2899,3313.72,1280,3313.72,391,3313.72,141,3313.72,10456,3313.72,3296,3313.72,41.58
UCO,1448,933.67,433,933.67,1526,933.67,464,933.67,82,933.67,20,933.67,3056,933.67,917,933.67,32.26
UNI,2,7.96,0,7.96,99,7.96,11,7.96,6,7.96,0,7.96,107,7.96,11,7.96,6.17
YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
