District,Duringthe Quarter Savings Linked No.,Duringthe Quarter Savings Linked Amt,Duringthe Quarter Credit Linked No.,Duringthe Quarter Credit Linked Amt,Current FY Savings Linked No.,Current FY Savings Linked Amt,Current FY Credit Linked No.,Current FY Credit Linked Amt,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA Amt,SHG NPA Amt. %
Bishnupur,29,6.03,1,1,30,6.04,1,1,338,244.27,117,62.23,25.48
Chandel,52,0.84,0,0,55,0.86,0,0,3,1.09,0,0,0
Churachandpur,774,21.59,9,17.86,779,21.65,9,17.86,187,70.97,159,33.47,47.16
Imphal East,80,37.1,46,57.22,86,42.17,54,62.22,315,268.5,58,56.43,21.02
Imphal West,383,5.33,2,2.67,420,6.77,4,5.88,394,346.27,109,84.15,24.3
Jiribam,0,0,0,0,0,0,0,0,1,0.32,1,0.32,100
Kakching,2,0.02,0,0,16,0.37,0,0,54,32.7,30,17.17,52.51
Kamjong,107,4.37,6,14.1,107,4.37,0,0,0,0,0,0,0
Kangpokpi,60,4.26,1,1.5,68,4.47,1,1.5,42,45.12,0,0,0
Noney,11,0.95,0,0,11,0.95,0,0,74,58.07,42,25.5,43.91
Pherzawl,3,0.05,0,0,3,0.05,0,0,0,0,0,0,0
Senapati,305,11.71,7,21.29,305,11.71,7,21.29,53,58.34,12,10.1,17.31
Tamenglong,15,0.91,0,0,15,0.91,0,0,9,3.5,7,0.94,26.86
Tengnoupal,104,10.58,6,12,104,10.58,28,75.54,82,153.65,3,0.35,0.23
Thoubal,355,18.65,17,33.65,377,19.27,19,37.35,400,304.78,153,96.47,31.65
Ukhrul,0,0,54,69.64,183,7.67,54,69.64,86,29.14,65,9.8,33.63
