District,Bank Name,Export Credit No.,Amt,Education (PS) No.,Housing (PS) No.,Social No.,Renewable No.,Informal No.,Total Other PS No.
Bishnupur,,0,207.65,2,23,0,0,0,25
Chandel,,0,45.09,1,5,0,0,0,6
Churachandpur,,0,314.08,12,144,0,0,0,156
Imphal East,,0,806.35,21,350,0,6,63,440
Imphal West,,0,1800.85,70,592,0,12,73,747
Jiribam,,0,0,0,0,0,0,0,0
Kakching,,0,133.17,8,12,1,0,0,21
Kamjong,,0,0,0,0,0,0,0,0
Kangpokpi,,0,13.47,1,3,0,0,0,4
Noney,,0,0,0,0,0,0,0,0
Pherzawl,,0,0,0,0,0,0,0,0
Senapati,,0,167.54,18,14,0,0,0,32
Tamenglong,,0,15.96,4,2,0,0,0,6
Tengnoupal,,0,44.91,0,5,70,1,0,76
Thoubal,,0,289.04,4,88,0,0,65,157
Ukhrul,,0,0.12,0,1,0,0,0,1
