District,Current Year Self- Help Group No.,Current Year Self- Help Group Amt,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA Amt,NRLM NPA Amt. %
Bishnupur,5,0,42,18.28,0,0,18,3.2,17.51
Chandel,3,0,3,1.09,0,0,0,0,0
Churachandpur,0,0,168,32.48,1,0.02,13,1.74,5.36
Imphal East,109,112.12,670,521.5,12,4.83,60,39.15,7.51
Imphal West,6,6.67,79,51.53,1,1.95,16,7.15,13.88
Jiribam,0,0,0,0,0,0,0,0,0
Kakching,6,0,9,4.27,0,0,0,0,0
Kamjong,0,0,0,0,0,0,0,0,0
Kangpokpi,1,2.5,7,10.47,0,0,0,0,0
Noney,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,10,0,25,21.86,0,0,1,0.99,4.53
Tamenglong,0,0,4,0.71,0,0,0,0,0
Tengnoupal,21,23.7,164,204.05,5,0.05,1,0.56,0.27
Thoubal,10,7.65,233,190.65,0,0,23,12.28,6.44
Ukhrul,5,5,9,10.15,0,0,0,0,0
